"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.724166719,      0.7516247664,      -13.28720114,       3.998485641,      -3.066723362,       5.182736196,      -4.454009192
           1,      -1.783361123,       0.380451288,       0.447264734,       3.627366358,      -2.738128085,       5.933847776,      -5.107255147
           2,      -1.916183082,       0.227625659,      0.3420255938,       3.423691366,      -2.464349981,       6.340204532,      -4.974151292
           3,      -2.262552395,      0.3873259143,       0.100733318,       3.093199551,      -2.184642437,       6.588016494,      -4.865117038
           4,      -2.486629198,      0.3585900501,     -0.3247067541,       2.979499714,       -2.14253862,       6.620032222,      -5.294226373
           5,      -2.896557337,    -0.07972463278,     -0.5598159438,       2.718156321,      -2.254706538,       6.306750463,      -5.573444151
           6,      -3.161515329,     -0.3963391359,     -0.8426267248,       2.421463081,      -2.210554021,       5.791226886,      -5.534341494
           7,      -3.270553601,     -0.6106951045,     -0.9153623884,       2.313179135,      -2.079800009,       5.290792456,      -5.784425453
           8,      -3.392891543,     -0.7813517234,      -1.064224237,       2.195806144,      -1.937249995,       4.935967434,      -5.621601229
           9,      -3.428784138,     -0.8395711873,      -1.062536623,       2.153176018,      -1.800973283,       4.700362315,      -5.843877623
          10,      -3.479889309,     -0.9179505476,      -1.153976612,       2.085910593,      -1.675520454,       4.889321121,      -5.843465924
          11,      -3.505303064,     -0.9574314781,      -1.166267326,       2.055226417,      -1.553811071,       4.706297159,      -5.981693843
          12,      -3.546192067,      -1.020018114,      -1.229742143,       1.995762604,      -1.447114549,       4.744592014,      -6.066593663
          13,      -3.563175217,      -1.038711701,      -1.236026118,       1.982639362,      -1.338800292,       4.251197139,      -5.959213129
          14,      -3.581401645,      -1.072043439,      -1.278596431,       1.949214272,      -1.247255485,       4.391623532,      -6.039498996
          15,      -3.573247142,      -1.063669827,      -1.263504134,       1.961658545,      -1.146909983,       4.213683768,      -5.995681464
          16,      -3.625859649,      -1.138571384,       -1.38464658,       1.884129612,      -1.058156695,       4.498803773,      -6.132327507
          17,      -3.616433226,      -1.128223621,       -1.30206272,       1.895120901,     -0.9383864285,       4.099824274,      -6.018425873
          18,      -3.682406021,      -1.211525858,      -1.444087216,       1.812843507,     -0.8102132511,       4.054847866,      -6.074240093
          19,      -3.650701011,      -1.182849695,      -1.342357784,       1.841713867,     -0.6919098434,       4.180982718,      -6.014172351
          20,      -3.720628517,       -1.27477453,      -1.509339842,       1.750615651,     -0.5557116556,       4.464324931,      -6.141309164
          21,      -3.683881921,      -1.245573307,      -1.385251825,       1.781907396,     -0.4455790004,       4.216998497,      -5.916735555
          22,      -3.705847612,      -1.288288842,      -1.474407581,       1.741888985,     -0.3191848039,        4.24650269,      -6.048200629
          23,      -3.689328275,      -1.292106424,      -1.457887417,       1.747181339,     -0.2345771211,       4.444301907,      -5.704682843
          24,      -3.681643148,      -1.314432052,      -1.423898003,       1.727582948,     -0.1445482486,       4.258341133,      -5.793901456
          25,       -3.67614501,      -1.341544849,      -1.494801884,       1.723367323,      -0.105811896,       4.157028752,      -5.567855272
          26,      -3.678152232,      -1.400559696,      -1.442397738,       1.666064919,    -0.06738783877,        4.84873749,       -5.73394851
          27,      -3.655044084,       -1.40435032,      -1.462818167,       1.691213194,     -0.0793287087,       4.453970919,      -5.522832292
          28,      -3.654880243,       -1.46263701,      -1.442295151,       1.625388083,     -0.0836053439,       4.958890327,      -5.735059537
          29,      -3.637739864,      -1.434755251,      -1.480687257,       1.660408301,     -0.1277839618,       4.699019682,      -5.561765545
          30,      -3.630984981,       -1.45943749,       -1.45308135,       1.612131515,     -0.1214730188,       5.059807436,       -5.88587325
          31,      -3.669995027,      -1.476216779,       -1.50624144,       1.598543947,     -0.1421493349,       4.705289819,      -5.665879425
          32,      -3.643659307,      -1.449904798,       -1.47098666,       1.595553637,     -0.1386667288,       4.884540435,       -5.99260101
          33,      -3.701270839,      -1.482613405,      -1.556352998,       1.558279468,     -0.1422027024,       4.542293666,       -5.74704786
          34,      -3.684151155,      -1.439915567,      -1.500498094,        1.58300421,     -0.1460830177,       4.750406561,      -6.049312115
          35,      -3.750478816,      -1.483000103,      -1.604309414,        1.53748261,     -0.1357776917,       4.522785958,      -5.835507184
          36,      -3.740833015,      -1.438594047,      -1.549586209,       1.581766119,     -0.1521060706,       4.628036786,      -6.085986985
          37,      -3.813042173,      -1.490896944,      -1.658450746,       1.524047208,     -0.1327433601,       4.491350705,      -5.920738007
          38,      -3.802697131,      -1.449771464,      -1.602980124,       1.576326457,     -0.1525959777,       4.293522709,      -6.035599975
          39,      -3.849940491,      -1.481116922,      -1.733333594,       1.544713977,     -0.1250726384,       4.589468758,       -6.05774753
          40,      -3.837069633,       -1.44359404,      -1.678737768,       1.598560869,     -0.1607055817,       4.592626791,      -6.182953681
          41,      -3.917566199,      -1.523335289,      -1.772650305,       1.511461954,     -0.1434758903,       4.566860215,      -6.318061869
          42,      -3.926092345,      -1.500820073,      -1.818158442,       1.551104308,      -0.197557514,       4.352185206,      -6.259994316
          43,      -4.001914248,      -1.578236253,      -1.858099716,       1.453838206,     -0.1923415007,       4.182560098,      -6.342617212
          44,       -4.00200652,       -1.55655328,      -1.900145128,       1.495683617,     -0.2489556829,        4.09429219,      -6.255166238
          45,      -4.067030357,        -1.6324566,      -1.932751778,       1.387060348,     -0.2489185828,        4.35276338,      -6.315195652
          46,      -4.041038356,      -1.586228458,      -1.924951761,       1.457099917,     -0.2969965129,       4.178473854,      -6.246676044
          47,       -4.09821141,      -1.655964364,       -1.98481094,       1.346276382,     -0.3020891645,       4.319382908,      -6.297564244
          48,      -4.072622278,      -1.612665787,      -1.977228037,       1.414973907,     -0.3443943912,       4.191864352,      -6.238339364
          49,      -4.126943915,       -1.67364679,      -2.028814163,       1.306167319,     -0.3564503522,        4.33393632,      -6.277052135
          50,      -4.100325852,      -1.635926289,      -2.027315782,       1.375172028,     -0.3970020123,       4.212611524,       -6.22953256
          51,      -4.152522735,      -1.693107736,      -2.087948525,       1.267768523,     -0.4156255926,       4.347271235,      -6.255183537
          52,      -4.126702309,       -1.65794968,      -2.089365657,       1.336504541,     -0.4571258693,       4.161020177,      -6.264620044
          53,      -4.183845568,      -1.715458183,      -2.153025919,       1.224668476,     -0.4811587236,       4.367019085,      -6.211527699
          54,       -4.15441273,       -1.68063118,      -2.116383746,       1.301350437,     -0.5312171368,       4.300126176,      -6.275543959
          55,      -4.231841814,      -1.758138097,      -2.149917731,       1.194361549,     -0.5736037058,       4.279268207,      -6.246619234
          56,      -4.208218714,      -1.722185967,      -2.137769303,       1.259928463,     -0.6438490794,       4.351257558,      -6.196590157
          57,      -4.263409723,      -1.775816684,      -2.175504766,       1.171540213,     -0.6783152829,       4.390526112,       -6.17927074
          58,      -4.222146551,      -1.730608877,      -2.212153386,       1.234606815,     -0.7147885424,       4.312372286,      -6.191515896
          59,      -4.290521889,      -1.804362233,      -2.216995249,       1.139485202,     -0.7475906026,       4.380745791,      -6.173298104
          60,      -4.265206265,      -1.781719142,      -2.212572699,       1.199907667,     -0.7926507562,       4.322852021,       -6.15958714
          61,      -4.315697766,      -1.837162764,      -2.244187271,       1.113870952,     -0.8245659798,       4.376348212,      -6.138025376
          62,      -4.274062696,       -1.80068863,      -2.269767269,        1.17327005,     -0.8539954441,       4.315672186,      -6.161789828
          63,      -4.338879416,      -1.874073347,      -2.280856085,       1.079627686,     -0.8797776812,       4.361977887,      -6.136962457
          64,      -4.313644918,      -1.858159148,      -2.278725546,       1.137853152,     -0.9170472378,       4.223448869,      -6.187089343
          65,      -4.369791129,      -1.922520217,      -2.338059996,       1.045219996,     -0.9403311621,       4.365943652,      -6.104921981
          66,      -4.335502434,       -1.89922926,       -2.31973088,       1.111144291,     -0.9714990575,        4.29066841,      -6.172572648
          67,      -4.389070304,      -1.967249224,      -2.371767549,       1.015082162,      -1.000251199,       4.270463507,      -6.127067594
          68,      -4.363720245,      -1.949804776,      -2.366758828,       1.080235997,      -1.019433413,       4.250848931,      -6.157776143
          69,      -4.410466926,      -2.013112642,      -2.396612781,      0.9882029125,      -1.051791534,       4.283727326,      -6.118896816
          70,      -4.383556817,      -1.999396055,      -2.405352567,       1.049832129,      -1.065545048,       4.210087118,      -6.154013807
          71,      -4.431916252,      -2.053243942,       -2.43069601,      0.9602687438,      -1.099577158,        4.23999428,       -6.11759575
          72,      -4.405549849,      -2.049789086,      -2.446636975,       1.019860479,      -1.112692838,       4.173935299,      -6.154882141
          73,      -4.454517416,      -2.099419995,      -2.464081705,       0.932164373,      -1.147018834,        4.19674509,      -6.120608757
          74,      -4.428726852,      -2.098795056,      -2.487577106,      0.9897902476,      -1.159407272,       4.136916176,      -6.158877676
          75,      -4.477886653,      -2.152304837,      -2.506404743,      0.9005852477,      -1.203146622,       4.152919957,      -6.126578778
          76,      -4.451962371,      -2.148934692,      -2.528729097,      0.9594662634,      -1.205080279,       4.099554136,      -6.165063316
          77,      -4.500940193,      -2.210762535,      -2.547708707,       0.869346451,      -1.253663913,        4.10922459,      -6.134569589
          78,       -4.47490379,      -2.193975348,      -2.566611743,       0.930473413,      -1.257587013,       4.062625127,      -6.172774004
          79,      -4.523702645,      -2.259937457,      -2.583818076,       0.840598038,      -1.303832933,       4.067449395,      -6.143966846
          80,      -4.497829737,      -2.237231964,      -2.604007685,      0.9016504446,      -1.301993007,        4.02726715,        -6.1815459
          81,      -4.546525984,      -2.301541886,      -2.617576765,       0.812766385,      -1.336947381,       4.027303044,      -6.154341557
