"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.786442999,      0.6778610824,      -13.41156992,       3.892074575,      -3.189511661,       4.827745108,       -4.47554104
           1,      -1.902991509,      0.2570504457,      0.2884380558,       3.486901034,      -2.881430654,       5.189161885,      -5.205601658
           2,       -2.02599475,      0.0869880906,      0.1753096713,       3.276874898,      -2.620225754,       6.252776345,      -5.067523972
           3,      -2.404178559,        0.25978431,     -0.0356223951,       2.938271753,      -2.361457408,       6.506195986,      -5.030271903
           4,      -2.628200782,      0.1620245117,       -0.49555019,       2.840501294,      -2.312929606,       6.412450452,      -5.291393414
           5,      -3.028658914,      -0.273837094,     -0.7041531415,       2.558697777,      -2.389537743,       6.132363765,      -5.636847558
           6,      -3.271490575,     -0.5504137556,     -0.9470413134,       2.291791996,      -2.308601367,       5.662201375,      -5.504451045
           7,      -3.353442506,     -0.7331593526,      -1.012353744,       2.202478049,      -2.178312612,        5.05699325,      -5.852234304
           8,      -3.465017088,     -0.8815739407,      -1.151124848,       2.088221711,      -2.042022683,       4.836707949,      -5.635497198
           9,      -3.492913461,     -0.9361299804,      -1.142689681,       2.049194277,      -1.911186144,       4.800849307,      -5.923669389
          10,      -3.540888162,      -1.012258817,      -1.233328933,       1.982614852,       -1.79145832,       4.738837892,       -5.87797814
          11,      -3.566185991,      -1.050254448,      -1.246686685,       1.952044458,      -1.672942132,        4.67693626,      -5.960758661
          12,       -3.60394911,      -1.112921784,      -1.307569528,        1.89284151,      -1.569658975,       4.501915926,      -6.103230692
          13,      -3.623919322,      -1.134180644,      -1.320963233,       1.876455444,       -1.46356098,       4.174331221,      -5.978236167
          14,      -3.639243032,      -1.165516317,      -1.354684207,       1.845881837,      -1.374867244,       4.514170816,      -6.119496722
          15,      -3.635540807,      -1.162704573,      -1.354615359,       1.852793795,      -1.268111283,       4.133645114,      -6.020608252
          16,      -3.695033988,      -1.243928808,      -1.456777014,       1.771646675,      -1.148147542,       4.596889384,      -6.173684623
          17,      -3.696440758,      -1.247468652,      -1.415947722,       1.769089349,      -1.024435988,        4.27542364,      -6.236524828
          18,      -3.738975371,      -1.307857935,      -1.501963556,       1.709192817,     -0.9071023496,        4.50975341,       -6.08207401
          19,      -3.724926423,      -1.300894203,      -1.464090104,       1.717294303,     -0.7787392501,       4.115816059,      -6.315925135
