"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.786465097,      0.6778610824,      -13.43007727,       3.886949891,      -3.185620983,       4.707509825,       -4.49915103
           1,      -1.927648856,      0.2296601163,      0.2513195953,       3.475898815,      -2.855319472,        5.04631621,      -5.163969779
           2,      -2.037453587,     0.07317795913,      0.1170737833,       3.267556923,      -2.613374495,        6.21577005,      -4.972230342
           3,      -2.510124292,      0.1349656093,    -0.07587727718,       2.932595969,      -2.387505603,       6.399981538,      -4.978259574
           4,      -2.416647253,      0.4023559625,     -0.4960583762,       3.071800468,       -2.23848882,       6.403348581,      -5.338136416
           5,      -2.937303502,      0.2778886918,     -0.6580782836,       2.771468956,      -2.155212667,       6.099105959,      -5.606025779
           6,      -3.114593146,     -0.2633659618,     -0.9105091312,       2.555311776,      -2.226131237,       5.418069042,      -5.564601674
           7,      -3.308271764,     -0.7202969061,      -1.054901838,       2.271878058,      -2.159668248,        4.88718034,      -5.851718838
           8,       -3.47033256,     -0.9113902212,      -1.201842541,       2.066532019,      -2.032462144,       4.680150384,      -5.683427527
           9,      -3.514313351,      -1.001923058,      -1.195711726,        2.00667081,      -1.913580307,       4.358063359,      -5.920860616
          10,      -3.586163535,      -1.091625892,      -1.322892072,       1.921482397,      -1.797494871,       4.519342771,      -5.781749651
          11,      -3.597607013,      -1.122329793,      -1.289155797,       1.898914225,      -1.682255362,       4.680344141,      -6.039058838
          12,      -3.639262879,      -1.181989648,       -1.37399138,       1.842554096,      -1.578246486,       4.590394243,       -6.03974298
          13,      -3.652142224,       -1.20354302,      -1.372081838,       1.826238346,      -1.469589138,       4.526913746,      -6.107884099
          14,      -3.683883684,      -1.255749407,       -1.42244714,        1.77500176,      -1.375679757,       4.288846525,      -6.220188068
          15,      -3.697937355,      -1.269718324,      -1.437360991,       1.764763233,      -1.265531146,       4.395151744,      -5.924806248
          16,      -3.686503048,       -1.26646122,      -1.391032076,       1.771801561,       -1.14494957,       4.218160455,      -6.215549234
          17,       -3.73326316,      -1.324206699,      -1.571934964,       1.718044249,      -1.019627208,       4.234774104,      -6.021208953
          18,      -3.737932618,      -1.342217859,       -1.43421311,       1.697700863,     -0.9061165107,        4.30827599,      -6.308752185
          19,      -3.773615627,      -1.387404385,      -1.621341063,       1.657691588,     -0.7789629549,       3.855898873,      -6.057778066
          20,      -3.772681869,      -1.402569217,      -1.485324174,       1.641334028,     -0.6760204765,       4.281383683,      -6.373378636
          21,       -3.80609724,      -1.448825956,      -1.662590827,       1.601278858,     -0.5557976954,       3.590357083,      -6.055390856
          22,      -3.796608408,      -1.462592866,      -1.518215188,       1.588513631,     -0.4774387498,       4.495147781,      -6.482753834
          23,      -3.812661768,      -1.500529664,      -1.656153567,       1.559428044,      -0.378617867,       3.566281727,      -6.129341097
          24,      -3.801510358,      -1.520550253,      -1.540651325,       1.545912647,     -0.3382272937,       4.349650793,       -6.44083859
          25,      -3.816420747,      -1.572113222,      -1.672328856,       1.502136916,     -0.2680736958,       4.211372948,      -6.070606491
          26,      -3.792471544,      -1.584098995,      -1.533391456,       1.497289688,     -0.2787137927,       4.444567606,      -6.385690606
          27,      -3.775909931,      -1.595152868,      -1.638297212,        1.49090422,     -0.2390661421,        4.30801494,      -6.005275025
          28,      -3.773201859,      -1.628818959,      -1.581643798,       1.450550308,     -0.2803515711,       4.791054668,       -5.99816928
          29,      -3.722496533,      -1.588671715,       -1.53617187,       1.494470873,     -0.2613504143,       4.073667705,      -6.227070215
          30,      -3.754044561,      -1.629298556,      -1.633380862,       1.439373849,      -0.297523372,       4.439756665,      -5.903995045
          31,      -3.728697418,      -1.597719962,      -1.571964773,       1.444374556,     -0.2772290926,       4.550333525,      -6.222140031
