"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,       -1.86620487,      0.5877742926,      -13.74511645,       3.769012008,      -3.340040005,        4.45826243,      -4.482068437
           1,      -2.037521588,      0.1485511969,      0.1102154841,       3.326421413,      -3.009648495,       4.981853603,      -5.142788233
           2,      -2.165118912,   -0.005832301014,     0.04163912617,       3.120959224,      -2.711411542,       6.375377416,      -4.890541908
           3,      -2.507791796,      0.2775559513,     -0.1554497602,       2.765683477,      -2.438333406,       6.635407888,      -4.884527757
           4,      -2.837319783,    -0.08951615663,     -0.5912583183,       2.707977945,      -2.447568023,       6.734342684,      -5.379255542
           5,      -3.155072914,     -0.5165304438,     -0.7724674433,       2.436841373,      -2.519048822,       6.381188402,      -5.534938094
           6,      -3.338418849,     -0.6844585342,      -1.018638539,       2.212009361,      -2.401583952,       5.762914207,      -5.557383565
           7,      -3.411479928,     -0.8284828665,      -1.068271623,       2.127973613,      -2.269832904,       5.402589457,       -5.83207864
           8,      -3.506253148,     -0.9389738231,      -1.205627965,       2.012420602,      -2.135909824,       4.733919968,      -5.522633486
           9,      -3.532445023,      -1.000857612,      -1.207520704,       1.965126105,      -2.011981042,       4.843374193,      -5.718470445
          10,      -3.580198345,      -1.072514949,      -1.286932638,       1.900798118,      -1.898169357,       5.209756268,      -5.786363668
          11,      -3.621603485,       -1.12909293,      -1.350334379,       1.849222631,      -1.786261218,       5.104376292,       -5.99935233
          12,       -3.65765929,      -1.187723152,      -1.366696132,       1.793614943,      -1.685729522,       4.736760884,      -5.849055344
          13,      -3.650629565,      -1.192830726,      -1.364460143,       1.797060967,      -1.588899009,       4.532985583,      -5.923280943
          14,      -3.705101008,      -1.258875769,      -1.467322445,       1.731102392,      -1.496895936,       4.179955943,         -5.748859
          15,      -3.710213985,      -1.273575717,      -1.442944222,       1.717877166,       -1.41240285,       4.571449369,      -5.661926663
          16,      -3.694173053,      -1.244837892,      -1.390854415,       1.747437937,      -1.323949984,       4.315324874,       -5.55862015
          17,      -3.745981684,      -1.326584008,      -1.589531844,       1.667855486,       -1.21244613,       5.316007841,      -5.831067296
          18,      -3.766239124,      -1.342033617,      -1.437155883,       1.650741745,      -1.089646006,        5.35432165,      -6.100093861
          19,      -3.797590305,       -1.38610527,      -1.659361015,       1.609276836,     -0.9736002734,       5.139803197,      -5.807220784
          20,      -3.820322175,      -1.426988046,        -1.5482259,       1.568776812,     -0.8442818136,       4.836336487,      -5.836883986
          21,      -3.828193924,      -1.434446765,      -1.643790404,       1.565817369,     -0.7312407734,       4.572216212,      -5.654533778
          22,      -3.850725122,      -1.486514385,      -1.623002875,       1.514983484,     -0.6085801388,       4.794005884,      -5.719852643
          23,      -3.858416416,       -1.49679041,      -1.668395735,       1.515262081,     -0.5171177766,       4.683018977,      -5.604277821
          24,      -3.874360777,      -1.553484904,      -1.655324453,       1.460880602,     -0.4226369594,       5.011288078,      -5.728921031
          25,      -3.872702417,      -1.563673656,       -1.68510215,       1.470241293,      -0.374869589,        4.78853709,       -5.60917381
          26,       -3.88102418,       -1.62567028,      -1.668583847,        1.41141453,     -0.3247840807,       5.069836789,      -5.795152393
          27,      -3.871464688,       -1.63236423,      -1.694255837,       1.429899046,     -0.3284598529,       4.753203304,      -5.632525238
          28,      -3.873228116,      -1.689754552,      -1.659327355,        1.37205377,     -0.3226678252,       5.050350125,      -5.848581562
          29,      -3.824043712,      -1.630462289,      -1.622918376,       1.452090397,     -0.3616538099,       4.484458987,      -5.583099012
          30,      -3.830067132,      -1.672032641,      -1.653233326,        1.40722883,     -0.3737726712,       4.907765531,      -5.752498386
          31,      -3.829267899,      -1.636541414,      -1.693031598,       1.437209294,     -0.3945476345,       4.670232258,       -5.56416023
          32,      -3.855454578,      -1.681292249,      -1.669854614,       1.368473597,     -0.3922266104,       5.035659495,      -5.740553192
          33,      -3.857973718,      -1.636494418,      -1.731980201,       1.412656595,     -0.4002557616,       4.852328735,      -5.599365296
          34,      -3.894444078,      -1.670826838,      -1.701988754,       1.348430419,     -0.3941858759,       5.036896895,      -5.780426583
          35,      -3.905301396,      -1.638693374,      -1.783001356,       1.384587838,     -0.3925038982,       4.887541684,       -5.66632536
          36,      -3.947119751,      -1.663170674,      -1.740791701,       1.335727579,     -0.3935153776,       4.931851237,      -5.814599657
          37,      -3.966099374,       -1.64642428,      -1.857562427,       1.360100232,     -0.3932212734,       4.818826465,      -5.714709719
          38,       -4.00742388,      -1.668693983,       -1.77770845,       1.323303043,     -0.4001619268,       4.907027867,      -5.867809406
          39,      -4.026596025,      -1.663332556,      -1.922797725,       1.340635126,     -0.4008487087,       4.912928521,      -5.860967122
          40,      -4.079650867,      -1.689005168,      -1.857124544,       1.301114363,     -0.4230367161,       4.896183857,      -6.053103349
          41,      -4.096011778,       -1.68497012,      -1.980409561,       1.314682055,     -0.4223442301,       4.730727303,      -5.988779377
          42,      -4.146586963,      -1.717665633,      -1.908051352,       1.278462493,     -0.4504862708,         4.6695199,       -6.16887537
          43,      -4.161611975,      -1.713777196,      -2.055520607,        1.28727319,     -0.4543809947,       4.717900261,      -6.296722369
          44,      -4.243003392,      -1.766194864,      -2.037568851,       1.221635909,     -0.4957653471,        4.68767022,      -6.510656563
          45,      -4.259456543,      -1.771919816,       -2.11984173,       1.223944417,     -0.5269053918,       4.631497428,      -6.394374612
          46,      -4.239717688,      -1.726947034,      -2.202545733,       1.252892767,     -0.5356071206,       4.215097999,      -6.307326441
          47,      -4.328517334,      -1.838319059,      -2.148474819,       1.139495752,     -0.5722463373,       4.568549911,      -6.426459477
          48,      -4.336701258,      -1.835737747,      -2.184170562,       1.146195459,      -0.612247082,       4.320915872,      -6.406071845
          49,       -4.34909433,       -1.86195756,      -2.281046305,       1.096167635,     -0.6212659491,       4.244924243,      -6.455671041
          50,      -4.371426934,      -1.871217804,      -2.240683985,       1.093593487,     -0.6625466705,       4.088888698,      -6.450819191
          51,      -4.349442424,      -1.851879275,      -2.303340347,       1.117418301,     -0.7001148051,       4.239952345,      -6.412724179
          52,      -4.404394857,      -1.908899592,      -2.287375092,       1.039205846,     -0.7456282963,       4.243278321,      -6.387111964
          53,      -4.428865984,      -1.943435653,      -2.347305961,       0.999731597,     -0.7809751053,        4.18177085,      -6.436989786
          54,      -4.393506819,      -1.888100415,      -2.386108596,       1.052861273,     -0.8239379233,       4.174884978,      -6.360608151
