"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.680563466,      0.7516247664,      -13.29250173,        3.91689755,      -3.159052092,       4.290528079,      -4.498095939
           1,      -1.922687345,      0.2606120409,      0.1909307841,        3.46940197,      -2.781600673,       4.969098543,      -5.090900522
           2,      -2.125229671,      0.1341918232,     0.09804028296,       3.206679238,      -2.565009192,       6.097856888,      -5.095818175
           3,      -2.389489648,      0.2599627957,     -0.1185246201,       2.974163293,      -2.277033213,       6.073523745,      -4.810846158
           4,      -2.287105769,      0.5103525329,     -0.4288827246,       3.170985763,      -2.114764797,       6.364258111,      -5.225615049
           5,      -2.801954682,      0.3108885709,     -0.6391450162,       2.880505126,      -2.077676356,       6.217012257,      -5.470578085
           6,      -3.051090951,     -0.2675593731,     -0.8393557124,       2.574932095,      -2.161711414,       5.529325077,        -5.5182699
           7,      -3.222295288,     -0.6659643269,     -0.9603087674,       2.331722781,       -2.09592483,       5.089269501,      -5.752861854
           8,      -3.369415811,     -0.8280831593,      -1.097716349,       2.139551673,      -1.972330959,       4.669815948,      -5.604067556
           9,      -3.408441553,     -0.9012997925,      -1.099012143,       2.084590322,      -1.857971447,       4.376662778,      -5.759844733
          10,      -3.479779787,     -0.9843853209,      -1.213132138,       2.002901926,      -1.745443507,       4.619992711,      -5.662051434
          11,      -3.493240569,      -1.020832936,      -1.193461349,       1.976184668,      -1.636666779,       4.511999967,      -5.787553785
          12,      -3.554579427,      -1.089477828,      -1.307629142,       1.906359695,      -1.533565205,       4.629257852,      -5.739392962
          13,      -3.558433218,      -1.110446009,      -1.267842049,        1.89254076,        -1.4315226,       4.577321571,      -5.859069482
          14,      -3.615779187,       -1.17265319,      -1.383908182,       1.828145623,      -1.336120985,       4.573601637,       -5.83424069
          15,      -3.613244676,      -1.182301715,      -1.331741737,       1.823377253,      -1.238469306,       4.682617211,      -5.997853663
          16,      -3.629039792,      -1.197383986,      -1.373155117,       1.808572374,      -1.150763837,       4.480612192,      -5.977064312
          17,      -3.621187987,      -1.197520914,      -1.380779902,       1.812500475,      -1.038293157,       4.709853083,      -6.296762211
          18,      -3.690393186,      -1.284866637,      -1.477826503,       1.730334794,     -0.9181318996,       4.551374712,      -6.247810869
          19,       -3.65893042,      -1.251889457,      -1.374152161,       1.762824126,     -0.8106108054,       4.008834768,       -6.27358609
          20,      -3.729742056,      -1.344403327,      -1.563516428,       1.675074491,     -0.6863896995,       3.854470878,      -6.287967377
          21,      -3.701746953,      -1.322365232,      -1.427799335,       1.697204306,     -0.5876296843,       3.839706409,      -6.271922911
          22,      -3.763922686,       -1.40585478,      -1.585008398,       1.621288768,     -0.4719684384,       4.155075378,       -6.32402022
          23,      -3.727619236,      -1.387583005,      -1.470929128,       1.643192002,     -0.3970643859,       3.837547366,      -6.291003758
          24,      -3.789751824,      -1.480784879,      -1.631064318,       1.558525945,     -0.3070160066,       4.264521492,      -6.301157417
          25,      -3.738750968,      -1.463790839,      -1.488066315,       1.587720849,     -0.2709679248,       4.016017588,      -6.293337815
          26,      -3.793257262,       -1.55451517,      -1.641215358,       1.507476837,     -0.2159789352,       4.306965938,      -6.217876804
          27,      -3.732156679,      -1.540588521,      -1.497276423,       1.534184785,     -0.2244644231,       4.202579468,      -6.272946981
          28,      -3.782598476,      -1.612626517,      -1.633123928,       1.461485503,     -0.2092523325,       4.311544896,      -6.137786214
          29,      -3.718978515,      -1.576050828,      -1.506920416,       1.491476039,     -0.2547173784,       4.278499885,      -6.267566995
          30,      -3.779293402,      -1.633543885,      -1.655240514,       1.416467491,     -0.2598654533,        4.19946953,      -6.110781896
          31,        -3.7208186,       -1.57920619,      -1.525623887,       1.452570786,     -0.2946122384,       4.567574866,        -6.0647984
          32,      -3.749293536,      -1.602562571,      -1.593711369,       1.427093976,     -0.2804957321,        4.49281514,      -6.016395014
          33,      -3.692103214,      -1.541182516,      -1.522847775,       1.487601123,     -0.3099426344,       4.038444078,      -6.260804884
          34,       -3.77282505,      -1.581487511,      -1.679238771,        1.41665736,      -0.295964988,       3.967326332,      -6.149625153
          35,      -3.742471512,      -1.513937299,      -1.588379666,       1.461374349,     -0.3190693896,       4.158121249,      -6.281798934
          36,      -3.795961794,      -1.531176567,      -1.696660222,       1.435202249,      -0.314103288,        4.20428366,       -6.08936005
          37,      -3.792002899,        -1.5043196,      -1.629051911,         1.4555001,     -0.3102687226,       4.235863204,      -6.254241243
          38,      -3.815849605,      -1.478211577,      -1.751993304,       1.487676994,     -0.3215197762,       4.102879274,      -5.991109913
          39,      -3.857696212,      -1.511805007,      -1.683703786,       1.449650878,     -0.3053346314,       4.268633279,      -6.194987507
          40,      -3.885321399,      -1.495703629,      -1.822367168,       1.486624391,     -0.3288800663,       4.263908863,      -6.037431598
          41,      -3.928467626,      -1.538337883,      -1.747772455,       1.436785254,     -0.3076278687,       4.276669228,       -6.22216078
          42,      -3.953894306,      -1.527693519,      -1.884745373,       1.470572159,     -0.3455693618,       4.475165927,      -6.278074312
          43,      -4.027604831,      -1.586052981,       -1.89059596,       1.389780896,     -0.3335300272,       4.316755992,      -6.347060408
          44,      -4.018788229,      -1.564819969,      -1.900968583,       1.441942061,     -0.3686898007,       4.067154913,      -6.317271284
          45,      -4.089370509,      -1.637340123,      -1.926676269,       1.359998338,     -0.3934868258,       4.092630582,      -6.427685892
          46,      -4.100681167,      -1.628194927,      -1.971537082,       1.382421898,     -0.4797498898,       3.995866413,      -6.362126541
          47,      -4.167612112,      -1.685950406,      -2.025005829,       1.291915076,     -0.5053964892,       4.127412904,      -6.416025062
          48,      -4.155002872,      -1.664528056,      -2.073638925,       1.319503979,     -0.5310633102,       4.125495338,      -6.338609828
          49,      -4.208248728,      -1.722166799,      -2.062913995,       1.244841046,     -0.5587764877,        4.22167203,      -6.413838713
          50,      -4.205279898,      -1.713627333,      -2.090662039,       1.271062946,     -0.6212797363,       4.119383394,       -6.30512965
          51,      -4.249684252,      -1.756400198,      -2.138599594,        1.19822011,     -0.6494791468,       4.202158043,      -6.349497959
          52,       -4.23743363,      -1.726230236,      -2.177749921,       1.225487012,     -0.6765375521,       4.144624287,      -6.312993996
          53,      -4.290474085,      -1.790418881,      -2.189576104,       1.149910774,     -0.7071404208,       4.240814775,       -6.35461097
          54,      -4.292370185,      -1.778513492,      -2.178537621,       1.176212996,     -0.7642593986,       4.158636645,      -6.290854183
