"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.680544817,      0.7516247664,      -13.28720111,       3.919045743,      -3.169638309,       4.384627178,      -4.479110644
           1,      -1.905059665,      0.2760271311,      0.2149579745,       3.477390483,      -2.806781165,       4.990770406,      -5.129551832
           2,      -2.105088836,      0.1106310068,      0.1336267834,       3.224340304,      -2.545065347,       6.145528536,      -5.154097624
           3,      -2.338713411,      0.3700568575,    -0.04859084607,       2.973027203,      -2.280770967,        6.19677102,      -4.894502782
           4,      -2.573525887,      0.2569857567,     -0.4216825654,       2.924505043,      -2.230664949,       6.322484266,      -5.199977816
           5,       -2.91711664,     -0.1763277121,     -0.6477308648,       2.661423929,       -2.30169697,       6.204295482,      -5.548727434
           6,      -3.153315488,     -0.4499511285,     -0.8589932777,        2.38590044,          -2.24344,       5.735509226,      -5.421040991
           7,      -3.257127404,     -0.6397537295,     -0.9227905942,       2.277706535,       -2.12368546,       5.144472483,       -5.72500748
           8,      -3.364087117,     -0.7849379374,      -1.052280383,       2.161799236,      -1.998154942,       4.918967426,      -5.523849419
           9,       -3.39298829,     -0.8474403272,      -1.058009411,       2.114368438,       -1.88144002,       4.589870269,      -5.737401777
          10,      -3.459063931,      -0.931325673,      -1.167212299,        2.03700532,      -1.769937881,       4.745982648,      -5.587885969
          11,      -3.472049463,     -0.9700378982,      -1.151965658,       2.008837519,        -1.6659787,       4.685344416,      -5.750790044
          12,      -3.532898084,      -1.039842678,      -1.262628496,       1.940317081,      -1.566625291,       4.729351773,      -5.658231636
          13,      -3.537293625,      -1.062776895,      -1.235051866,       1.922783987,      -1.470338065,        4.93189816,      -5.917896929
          14,      -3.576207108,      -1.111996742,      -1.297417463,       1.876282089,      -1.381264696,       4.825162655,      -5.943908807
          15,      -3.587348735,      -1.129375578,      -1.313928782,       1.860410682,      -1.291263047,        4.74094344,      -6.090386302
          16,      -3.597117462,      -1.146110073,      -1.312770399,       1.845027506,      -1.208686212,       4.490348086,      -6.132041795
          17,      -3.593165122,      -1.143820505,      -1.342986955,       1.850173026,      -1.093768282,       4.789356595,       -5.96228141
          18,      -3.660530591,      -1.234615281,      -1.431567492,       1.761917538,      -0.976988811,       4.632322958,      -5.917553383
          19,      -3.641785917,      -1.206897764,      -1.353758833,       1.788803601,     -0.8622754569,       4.041857936,      -5.802427535
          20,      -3.700654455,      -1.293701045,      -1.493440538,       1.705994428,     -0.7346657916,       4.700317842,      -5.949558115
          21,      -3.675638837,      -1.265894132,      -1.394606863,       1.733412434,     -0.6232127512,       4.676905814,      -5.984738486
          22,      -3.750427802,      -1.369219953,       -1.58133593,       1.634611697,     -0.4966939824,       4.783890846,      -6.224219571
          23,      -3.708183133,      -1.336043643,      -1.426432436,       1.672169851,     -0.4042955377,       4.173331041,       -6.01931066
          24,      -3.760530047,      -1.419003405,      -1.585337872,       1.595787689,     -0.3022899699,       4.431660354,      -6.237665722
