"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.786442999,      0.6778610824,      -13.41156992,       3.892074575,      -3.189511661,       4.827745108,       -4.47554104
           1,      -1.902991509,      0.2570504457,      0.2884380558,       3.487012195,       -2.88171657,       5.183707661,      -5.055489029
           2,       -2.02311329,     0.08463219007,      0.1947822453,       3.281673775,      -2.617694389,       6.385238438,      -4.858162315
           3,      -2.391267998,      0.2575471298,    -0.02640171172,        2.95978395,      -2.357767875,       6.644281467,      -4.729566507
           4,      -2.603205531,      0.1671635189,     -0.4582550924,       2.863491792,      -2.311697061,       6.858151981,      -5.024509086
           5,      -3.003196221,     -0.2625028466,     -0.6631351399,        2.57621527,      -2.386855113,       6.340744217,        -5.1248253
           6,      -3.243660699,     -0.5439844113,     -0.9371589333,       2.303045198,      -2.308028303,       5.777767735,      -5.304974379
           7,      -3.325918015,     -0.7181927057,     -0.9805931353,       2.223783757,      -2.176001266,       5.568219696,      -5.401816336
           8,      -3.439530155,     -0.8749152881,      -1.157802643,       2.100612755,      -2.041753454,       5.102098541,       -5.55645583
           9,      -3.467086167,     -0.9206301541,      -1.116653484,       2.070619537,      -1.911995538,       5.265635119,      -5.706957935
          10,       -3.53630518,      -1.016884397,      -1.276068531,       1.979720774,      -1.791994198,       4.936090072,      -5.863091527
          11,      -3.547058244,      -1.042427056,      -1.213162174,       1.964127446,      -1.676390097,       4.898024708,      -5.977528772
          12,      -3.591802236,      -1.109393999,      -1.327876827,       1.900658765,      -1.573087712,       4.520023276,      -6.041251738
          13,      -3.594720432,      -1.121859308,      -1.289745962,       1.894417204,      -1.471803955,       4.698799106,      -6.121072558
          14,      -3.648635602,      -1.190975962,      -1.408844454,       1.824718334,        -1.3789442,       4.286886957,      -5.983047948
          15,      -3.648481051,      -1.197343442,      -1.360984466,       1.821830398,      -1.291163863,       4.610608406,      -5.821795738
          16,      -3.637345492,      -1.176894456,      -1.333900606,       1.842502823,       -1.20286421,       4.332185769,      -5.693416796
          17,      -3.684023596,      -1.251599468,      -1.519270467,       1.769745544,      -1.093565545,       4.917869833,      -5.844981179
          18,      -3.700750167,      -1.264546467,      -1.361748429,       1.756730721,      -0.972794069,       5.053244349,      -6.004014583
          19,      -3.721446607,      -1.299946181,      -1.557337772,       1.723942852,     -0.8618623717,       4.945049072,      -5.992946255
          20,      -3.744353399,      -1.334569172,      -1.457658028,       1.688171076,     -0.7339575209,       4.869872661,      -5.904686872
          21,      -3.761948947,      -1.359841899,      -1.589831231,       1.667324441,     -0.6250674385,       4.645933193,       -5.71661262
          22,      -3.781170089,      -1.402621355,      -1.523646154,       1.624374337,     -0.5039348173,       4.488974922,      -5.686922912
          23,      -3.785245737,      -1.410571107,      -1.591319222,       1.627424229,     -0.4142893276,       4.479656879,       -5.58414815
          24,       -3.80413221,      -1.471737885,      -1.580218126,       1.563929795,     -0.3197587633,        4.78790841,      -5.623132674
          25,      -3.796059885,      -1.473861661,      -1.587639078,       1.584105397,     -0.2711106686,       4.727358055,      -5.548126074
          26,      -3.804849223,      -1.539157333,      -1.588547293,       1.515375035,     -0.2194917748,       4.950000002,      -5.641294057
          27,      -3.788843952,      -1.536978923,      -1.590845546,       1.545953997,     -0.2199916527,       4.808968913,       -5.56325512
          28,      -3.790710511,      -1.597899053,      -1.574265108,       1.472692411,     -0.2094365111,       5.015807732,      -5.698406806
          29,      -3.696305679,      -1.492046957,      -1.423943703,       1.616590662,     -0.2508898626,       4.947639996,      -5.700849268
          30,      -3.775335963,       -1.59073842,      -1.705087541,       1.474447324,     -0.2420514812,       5.100186996,      -6.025060907
          31,      -3.713526001,      -1.527645698,       -1.46126821,       1.546969417,     -0.2790379222,       4.873795146,      -6.056494211
          32,      -3.781111617,      -1.591323973,       -1.67783193,       1.460544178,     -0.2572812784,       4.795850659,      -6.150321054
          33,      -3.734831828,      -1.533779509,      -1.538138229,       1.508211669,      -0.285133102,       4.485312176,      -6.341986155
          34,        -3.8159982,      -1.585000621,      -1.687115593,       1.440043436,     -0.2657398761,        4.27779822,      -6.079424246
