"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.909826773,      0.5877742926,       -13.7743337,       3.879475858,      -3.221540331,       5.183327011,      -4.453530686
           1,      -1.915554696,      0.2770193704,      0.3352110382,        3.50885731,      -2.931734772,       5.745339811,       -5.09577228
           2,      -1.998516086,      0.1278575805,      0.2283839217,       3.340371455,      -2.682608042,       6.529788581,         -4.787406
           3,       -2.46197414,      0.2030694586,      0.0140660394,        2.90540031,      -2.450549096,        6.85390835,      -4.906467856
           4,        -2.7040124,    -0.03748463202,      -0.491494179,       2.786998715,      -2.440410359,       6.909486783,      -5.340236422
           5,      -3.105497273,     -0.4685305492,     -0.6647334101,       2.493757253,      -2.536456367,       6.421408738,         -5.327841
           6,      -3.354931063,     -0.6652497653,      -0.971223442,       2.240412424,      -2.434150367,       5.856700858,      -5.589088605
           7,      -3.435698109,     -0.8090327823,      -1.073883609,       2.156258518,      -2.289186542,       5.459661537,      -5.579259522
           8,      -3.554950111,     -0.9413615054,      -1.215736606,       2.033930844,      -2.147157641,       4.971651351,      -5.806418715
           9,      -3.588693291,     -0.9958923215,      -1.220965736,       1.993960314,      -2.007963226,       5.157550167,      -5.920342837
          10,      -3.650067669,      -1.085892664,      -1.349283828,       1.909161974,      -1.884033563,       4.744856928,      -6.033785714
          11,       -3.66926481,      -1.121962397,      -1.322976408,       1.882920819,      -1.764968377,       4.886218162,       -6.19843176
          12,      -3.724038709,      -1.196187677,       -1.44175964,       1.811744644,      -1.656622107,       4.444083883,      -5.979126694
          13,      -3.731537022,      -1.217033573,      -1.408413223,       1.797116862,      -1.553751759,       4.635967407,      -5.933738275
          14,      -3.756500825,      -1.247424038,      -1.470233958,       1.768934273,      -1.459320507,       4.508488431,      -5.708837291
          15,      -3.748285275,      -1.255622971,      -1.470266465,       1.764449196,      -1.362934119,       4.341709914,      -5.687014517
          16,      -3.791364166,      -1.305542071,      -1.538380808,       1.715062899,      -1.270492801,       4.386557614,        -5.5609295
          17,      -3.798138508,      -1.331588119,      -1.553156843,       1.687043049,      -1.148489326,       5.046707815,      -5.679660583
          18,       -3.83999542,      -1.369717103,      -1.584349428,       1.654209752,      -1.020502941,        5.10353243,      -5.705374079
          19,      -3.856587413,      -1.409132237,      -1.592442861,       1.610666671,     -0.8985249517,         5.0266612,      -5.857556797
          20,      -3.885104798,      -1.438503469,        -1.6688735,       1.587424546,     -0.7614785402,       4.923627718,      -5.853558811
          21,      -3.895214084,      -1.472188271,      -1.625716495,       1.549262457,     -0.6506305076,       4.937724531,      -6.090494777
          22,      -3.878309705,      -1.456182776,      -1.642129669,       1.574854251,     -0.5234697025,       4.569223188,      -5.917592999
          23,      -3.868873733,      -1.470922257,      -1.615326948,       1.562839415,     -0.4469353738,       4.565688514,         -6.099049
          24,      -3.896255235,      -1.520996099,      -1.736799755,       1.526259888,     -0.3455126467,       4.083478301,      -5.837210454
          25,      -3.884870039,      -1.549467457,      -1.613759345,       1.504589952,     -0.3287007692,       4.651646659,      -6.029454575
          26,      -3.893078679,      -1.580258348,      -1.728937303,       1.494481676,     -0.2731457818,       4.330064107,      -5.804681184
          27,      -3.860117664,      -1.602047304,      -1.627937389,       1.482027513,     -0.3041615516,       4.931477314,      -6.152082158
          28,      -3.905220972,      -1.652066642,      -1.711791089,       1.445504042,     -0.2824701908,       4.644508254,      -5.926563882
          29,      -3.848984505,      -1.625943085,        -1.6252705,       1.470769645,     -0.3467978129,       4.724949401,      -6.257369016
          30,      -3.888322001,      -1.648170034,      -1.748359122,       1.440172756,     -0.3276309958,       4.400108549,      -5.996158179
