"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.724185369,      0.7516247664,      -13.29250184,       3.993419921,      -3.066193008,       5.090097247,      -4.475391971
           1,       -1.80399457,      0.3531411323,      0.4255053862,       3.616144885,      -2.733396058,       5.758086816,      -5.130295605
           2,      -1.921612638,      0.2143078892,      0.3041728683,        3.40896559,       -2.49687721,       6.247548087,      -4.982356335
           3,      -2.335907777,       0.281835748,     0.05895812065,        3.07569181,      -2.210936125,       6.444004196,      -4.918949925
           4,      -2.287985909,      0.5379549235,     -0.3473641823,       3.216209391,      -2.073136079,       6.455104523,      -5.313040954
           5,       -2.81902539,      0.2916790567,     -0.5742362531,       2.932845995,      -2.039777243,       6.163777934,      -5.564275662
           6,      -3.095093882,     -0.2427310541,     -0.8301399848,       2.599625334,      -2.127812864,       5.499137543,      -5.564927364
           7,      -3.247831364,     -0.6484202757,     -0.9691771381,       2.366353484,      -2.055242703,       4.987060812,       -5.82215415
           8,      -3.415387159,     -0.8334093681,       -1.11981375,       2.161970085,      -1.918631886,       4.742626989,      -5.690575246
           9,      -3.458562688,     -0.9042980896,      -1.110396119,        2.11070419,      -1.792444104,       4.381862856,      -5.898014464
          10,      -3.529829503,      -0.990688139,      -1.236464296,       2.027670244,      -1.667040128,       4.542336689,      -5.784513331
          11,      -3.542228058,       -1.02071888,      -1.205723548,       2.005536517,      -1.544815477,        4.63369124,      -6.014256724
          12,      -3.584865377,      -1.080227473,      -1.286928681,       1.949752804,      -1.431864677,       4.607976938,      -6.032775316
          13,      -3.596923832,      -1.099304955,      -1.286417617,       1.935225493,      -1.316216034,       4.483773496,      -6.041899372
          14,      -3.606156945,       -1.12156969,       -1.30288556,       1.915053663,      -1.216321938,       4.309836761,      -6.128534586
          15,      -3.600274982,      -1.117872842,      -1.315641361,       1.922968613,      -1.098590493,       4.052969317,      -6.077208413
          16,      -3.661352483,      -1.200867441,       -1.41654336,        1.83896115,     -0.9712819642,        4.26803137,       -6.20857633
          17,      -3.654493538,      -1.194238039,      -1.350601458,       1.849005482,     -0.8391739899,       4.126584919,      -6.231427327
          18,      -3.699251565,      -1.259476343,      -1.464577104,       1.783309899,     -0.7173755187,       4.318606842,      -6.187911824
          19,      -3.682824188,      -1.251671766,      -1.405233205,       1.792918178,     -0.5879065888,       3.796599672,      -6.324464754
          20,      -3.727368733,      -1.313855188,      -1.492798298,       1.734690448,     -0.4808433184,       4.028074483,      -6.117806726
          21,      -3.703262368,      -1.305997305,      -1.440528098,       1.744660017,     -0.3600127241,        3.68240936,      -6.266060299
          22,       -3.73087333,      -1.362047662,       -1.54731085,       1.693940915,     -0.2834259975,       4.209749087,      -5.918224397
          23,      -3.733138381,      -1.391641327,      -1.455009146,       1.666624869,     -0.1934772851,       4.361813621,      -6.182331689
          24,      -3.728941791,      -1.422822564,      -1.548970129,       1.650748496,     -0.1596403336,       3.852505923,      -5.856356919
          25,      -3.721460686,      -1.456902471,      -1.453821796,       1.619482475,      -0.110879166,       4.658510403,      -6.234668999
          26,      -3.672588479,      -1.444266707,      -1.472778681,       1.649135847,     -0.1208815862,        4.44326691,      -5.713448895
          27,      -3.654525928,      -1.465674911,      -1.428396128,       1.630373239,     -0.1193927972,       4.324769754,      -5.952881889
          28,      -3.651677147,      -1.468056864,      -1.536447626,       1.625294221,     -0.1410216621,       4.148488878,      -5.602075674
          29,      -3.649341468,       -1.50485839,      -1.430333056,       1.566951378,     -0.1403263213,       4.769876465,      -5.879224379
          30,      -3.643591242,        -1.4753458,      -1.548152714,       1.593627732,     -0.1553233091,       4.309962773,      -5.587046605
          31,       -3.65575069,      -1.499949271,      -1.452455688,       1.534559898,     -0.1517282657,       4.821753549,      -5.882134964
          32,      -3.657849145,      -1.471611542,      -1.581131517,       1.564247602,     -0.1613560046,       4.434223101,      -5.610408949
          33,      -3.683252885,      -1.476084157,      -1.475330187,       1.529472303,     -0.1614340872,       4.790894983,      -5.898655281
          34,      -3.693767755,      -1.464533385,      -1.631438424,       1.552240855,     -0.1694232967,       4.633876764,      -5.719017826
          35,      -3.710350001,      -1.441910794,      -1.540106588,        1.57028615,     -0.1796124576,       4.870913642,      -6.091772357
          36,      -3.777118646,      -1.489217061,      -1.651072428,       1.519764655,     -0.1694938203,       4.588478412,      -5.906914814
          37,      -3.769755462,      -1.440761023,       -1.59200318,       1.582967158,     -0.1839334567,       4.288918037,      -6.075412428
          38,      -3.816958556,      -1.464856085,       -1.72271687,       1.551726578,     -0.1557706704,       4.511369581,      -6.057108631
          39,      -3.805307771,      -1.418031548,      -1.671025507,       1.620206523,      -0.188827094,       4.508280905,      -6.187985599
          40,      -3.887412769,       -1.49463602,      -1.772370277,        1.53405393,     -0.1661948264,       4.494601714,      -6.287008866
          41,      -3.899625589,      -1.467336576,      -1.803089221,       1.580283553,     -0.2106018048,       4.317129352,       -6.14813935
          42,      -3.952383752,      -1.531885932,      -1.799153157,       1.502844487,     -0.1986807469,       4.179110472,      -6.287147252
          43,      -3.973869645,      -1.525992422,        -1.9109003,        1.52512105,     -0.2491478418,       4.118977545,      -6.195315975
          44,      -4.034618083,      -1.590938934,       -1.84159473,       1.448915731,     -0.2792030781,       4.374984131,      -6.301133929
          45,      -4.011654605,      -1.560301167,      -1.940058123,       1.485477402,     -0.3214282046,       4.143317882,      -6.265971831
          46,      -4.085618593,      -1.641234457,      -1.932515771,         1.3774845,     -0.3433717374,         4.3711585,      -6.283691957
