"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.610124478,      0.8356627488,      -13.32372635,        4.03350895,      -3.034615312,       4.722313651,       -4.47654574
           1,      -1.790819307,      0.3662346219,      0.3476496215,        3.62080073,      -2.647619441,       5.002370621,      -5.127941174
           2,      -1.950639479,      0.2524766579,       0.241174568,       3.379967019,      -2.405745303,       6.040501631,      -5.260514836
           3,      -2.284532755,      0.3917295416,     0.05912389123,       3.120197416,      -2.117789895,       6.079881656,      -4.949523109
           4,      -2.179233621,      0.5943336007,     -0.3056624194,       3.319003967,      -1.904217257,       6.057784564,      -5.122749522
           5,      -2.514383731,      0.6100122254,     -0.4558490266,       2.990208321,      -1.879702501,       6.079344404,      -5.478786299
           6,      -2.902059235,     -0.1409975079,      -0.717229565,       2.768033894,        -2.0316023,       5.569665286,      -5.448444971
           7,      -3.141581303,     -0.5456710505,     -0.8573731397,       2.459484193,      -1.960061032,       4.881834801,      -5.745141115
           8,      -3.275025097,     -0.7139224447,     -0.9971831952,       2.274054379,      -1.832735104,       4.771615017,      -5.613331197
           9,      -3.339323665,     -0.7931123519,     -0.9954033461,       2.205606471,      -1.712531612,       4.638425965,       -5.84023859
          10,      -3.398867881,     -0.8713046852,      -1.091336933,       2.129401336,      -1.599194919,       4.803831366,       -5.93687218
          11,      -3.443160871,     -0.9195941987,      -1.129202822,       2.085759695,      -1.482147659,       4.328689737,      -5.854081685
          12,      -3.483873059,     -0.9839420922,      -1.174921299,       2.022319991,      -1.378142064,       4.578358026,      -5.997584863
          13,      -3.486142357,     -0.9923058589,      -1.159551014,       2.023013951,      -1.269625156,       4.169286916,      -5.954341779
          14,       -3.52327236,      -1.051234548,      -1.244678391,       1.964364266,      -1.175193851,       4.139781368,      -6.087910568
          15,      -3.538035086,      -1.063794369,      -1.233481183,        1.95499988,      -1.074570479,       4.132730891,      -5.906917017
          16,      -3.515023805,      -1.050342262,      -1.202106979,       1.970008056,     -0.9834018018,       4.209990697,      -6.115435824
          17,       -3.57013495,      -1.114428474,      -1.387763469,       1.907191059,     -0.8661717808,       4.243152981,      -5.810177087
          18,      -3.585074141,      -1.149341407,      -1.257953923,       1.873786801,     -0.7424979151,       4.166133238,      -5.930870944
          19,      -3.606300479,      -1.170657839,      -1.401853207,       1.856622674,     -0.6273382662,       4.230942673,      -5.796354444
          20,      -3.620822086,      -1.213567828,      -1.338422484,       1.813657986,     -0.4985920852,       4.643390886,       -6.04821991
          21,      -3.633132557,      -1.233700014,      -1.424963141,       1.798977298,     -0.3968100605,       4.325084932,      -5.883364304
          22,      -3.642650088,      -1.267511918,      -1.370223352,       1.767984668,     -0.2788888736,       4.536474529,      -6.169737396
          23,       -3.65166333,      -1.300373195,      -1.465376095,       1.744237948,     -0.2054742156,       3.903607072,      -5.856805279
          24,       -3.64895185,      -1.331762518,      -1.382162379,       1.717173264,     -0.1199864592,       4.526067855,      -6.206535296
          25,      -3.648538338,      -1.368882732,      -1.476923164,       1.696595852,    -0.09044573167,       3.971063441,      -5.816722584
          26,      -3.638469505,      -1.403843755,      -1.383525672,       1.666453291,     -0.0463625513,       4.623194951,      -6.258110285
          27,      -3.628179809,      -1.428349971,      -1.470133675,       1.652001245,    -0.06419680083,       4.093624043,      -5.795383439
          28,      -3.616454164,      -1.445107485,      -1.370989374,       1.630253226,    -0.06590293859,       4.893795804,      -5.990428062
          29,      -3.531703649,      -1.379781433,      -1.319433253,       1.716223136,     -0.1085586498,       4.273880587,      -5.941210084
          30,      -3.586172928,      -1.445477475,      -1.472248069,       1.625733831,    -0.09616065286,         4.5993653,      -5.923434129
          31,      -3.533780239,      -1.385666023,      -1.336134286,       1.671136355,     -0.1198231838,       4.528843245,      -5.961110085
          32,      -3.591674317,      -1.443309441,      -1.474003982,        1.59147418,     -0.0937464297,       4.514889711,      -5.904859777
          33,      -3.544973005,      -1.383955713,      -1.384706664,       1.635963477,     -0.1136713609,       4.532634311,      -5.970201007
          34,      -3.613993959,      -1.430119707,      -1.497600976,       1.567822372,    -0.09469680983,       4.462682451,      -5.909000528
          35,      -3.572066952,      -1.377360722,      -1.430782674,       1.616421841,       -0.11475645,       4.311816922,      -6.117467555
          36,      -3.625958494,      -1.389065442,      -1.540699257,        1.59585273,     -0.1113389955,       4.609598208,      -5.764273688
          37,      -3.643249137,      -1.397794818,      -1.467667928,       1.584628855,     -0.1177990035,       4.419129664,       -6.12201918
          38,      -3.681648084,      -1.387859756,      -1.609768485,       1.605088794,     -0.1306069608,       4.418089413,      -5.858475461
          39,      -3.678017777,       -1.37049121,        -1.5407814,       1.618944409,     -0.1094002178,       4.365895757,      -6.063749672
