"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.909826773,      0.5877742926,       -13.7743337,       3.879475858,      -3.221540331,       5.183327011,      -4.453530686
           1,      -1.915554696,      0.2770193704,      0.3352110382,       3.508812144,      -2.931595644,       5.752447839,      -5.152477767
           2,      -1.999164817,      0.1287890078,      0.2203701178,       3.338625337,      -2.683040798,       6.481956578,      -4.865885876
           3,       -2.46653666,      0.2043385826,    0.008541573355,       2.897653252,      -2.449360634,       6.816330793,       -5.02078649
           4,      -2.713663567,    -0.03553023751,      -0.508946251,       2.774899394,      -2.438139829,       6.763505074,      -5.435992424
           5,      -3.112964284,      -0.469623703,     -0.6805611928,       2.486576618,      -2.535171435,       6.349882466,      -5.565614223
           6,      -3.363236579,     -0.6658368456,     -0.9772999692,        2.23545918,      -2.432494423,       5.808785123,      -5.697716976
           7,      -3.441464222,     -0.8148942279,      -1.085414497,       2.148432473,      -2.288071262,       5.264447706,      -5.856480501
           8,       -3.56024696,     -0.9443893729,      -1.213338744,       2.029772658,      -2.143597153,       4.762971009,      -5.768742481
           9,      -3.593961194,      -1.002621599,      -1.231315055,       1.986198231,      -2.004168502,       4.740790913,      -5.999617416
          10,      -3.653288279,      -1.086773404,      -1.342938759,       1.907695725,      -1.877410042,       4.535153117,      -5.782092647
          11,      -3.673627014,      -1.126981402,        -1.3334579,       1.876694919,      -1.756929779,       4.452153503,      -5.952689941
          12,      -3.727156162,      -1.196401261,      -1.434023241,       1.810715122,      -1.645924173,       4.618071423,      -5.811938373
          13,      -3.735133752,      -1.219599662,      -1.415696305,       1.792980995,      -1.541422892,       4.537279094,      -5.887084321
          14,      -3.758913619,      -1.248249799,      -1.465930377,       1.766623851,      -1.445694418,       4.467904197,      -5.726327219
          15,      -3.748784221,      -1.254719823,      -1.468520922,       1.763607417,      -1.347122194,       4.721419883,      -5.837057483
          16,      -3.793633142,      -1.309199535,      -1.545189546,       1.708760638,      -1.255604988,       4.676494847,      -5.746676534
          17,      -3.794633598,      -1.322992309,        -1.5322004,       1.693387552,      -1.136771003,       5.122704565,      -6.157951783
          18,        -3.8620991,      -1.394809235,      -1.606700303,       1.625088388,      -1.004030649,       5.066569811,      -6.276782316
          19,      -3.832453223,      -1.375854311,      -1.560135286,       1.643079456,     -0.8851129387,       4.860080147,      -6.129881535
          20,      -3.868923672,      -1.426457687,      -1.635928443,       1.594565011,     -0.7461753564,       4.384823067,       -6.22378443
          21,      -3.858724879,      -1.428371569,      -1.630216143,       1.595713202,     -0.6349484964,       4.432719794,       -5.92217437
          22,      -3.902676041,       -1.49598125,      -1.682293896,       1.527360721,     -0.5102808122,       4.724706585,       -6.10679111
          23,      -3.839333016,      -1.439307107,      -1.554940451,       1.595790027,     -0.4299869945,       4.421166292,      -5.964434187
          24,      -3.910797995,      -1.549141292,      -1.772736236,       1.488257973,     -0.3359936246,       4.891865594,      -6.288573967
          25,      -3.852826068,      -1.521128381,      -1.566722507,       1.535866721,      -0.308677011,       4.238054372,      -6.056126258
          26,      -3.906026731,      -1.612598842,      -1.756424843,       1.450183936,     -0.2585048579,       4.838514743,      -6.261325594
          27,      -3.841387252,      -1.589098849,      -1.578963609,       1.498624227,     -0.2969468373,       4.031842776,      -6.239622052
          28,      -3.876773319,      -1.643024122,      -1.752615497,       1.438302281,     -0.2612579431,       4.927533689,      -5.934392392
