"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.724185369,      0.7516247664,      -13.29250184,       3.993419921,      -3.066193008,       5.090097247,      -4.475391971
           1,       -1.80399457,      0.3531411323,      0.4255053862,       3.616117243,      -2.733533371,       5.765879387,      -5.188922152
           2,      -1.921605554,      0.2149313768,      0.2952053236,       3.407719671,      -2.497693696,       6.168836788,      -5.108299834
           3,      -2.342927716,      0.2824217468,     0.05623242674,       3.066617461,      -2.209773412,       6.351452877,      -5.043056568
           4,      -2.290365094,      0.5384122788,     -0.3562647744,       3.214132229,      -2.071873634,       6.251752554,      -5.271881921
           5,      -2.823932633,       0.284987784,     -0.5834609388,       2.931280108,      -2.043087521,       6.013229585,      -5.579927753
           6,      -3.105529349,     -0.2445906766,     -0.8333769182,       2.591850008,      -2.131774261,       5.453028185,      -5.543734628
           7,      -3.254878926,     -0.6503931912,     -0.9728844199,       2.361752732,      -2.059638658,       4.812288923,      -5.852336746
           8,      -3.423780823,      -0.837046436,      -1.124115622,        2.15615854,       -1.92362319,       4.684677239,      -5.705969152
           9,      -3.466536068,     -0.9068414196,      -1.110964745,       2.106289441,      -1.797388506,       4.382106271,      -5.988122004
          10,      -3.537450072,     -0.9944625168,      -1.241900871,       2.022109719,      -1.672204619,       4.402497165,      -5.822447829
          11,       -3.54905296,      -1.022800025,      -1.204847873,       2.001688545,       -1.54885944,        4.74069118,      -5.970655911
          12,      -3.578431822,      -1.076010096,      -1.268855564,       1.954107575,       -1.43734478,       4.472248479,      -6.091047593
          13,      -3.599983223,      -1.098404893,      -1.293669643,       1.935256661,      -1.321048785,       4.106056637,      -5.980085694
          14,      -3.612557725,      -1.126527625,      -1.307732714,       1.908463168,      -1.220708337,       4.421703542,      -6.115440174
          15,      -3.606033597,      -1.121358878,      -1.315522785,       1.917906314,      -1.102126666,       3.959586422,      -6.065039372
          16,      -3.666302058,      -1.202696662,      -1.417154241,       1.835559201,      -0.973780462,       4.404536761,      -6.184212352
          17,      -3.661794902,      -1.199132631,      -1.358559465,       1.841716526,     -0.8408261742,       3.998142568,      -6.217046686
          18,      -3.704453849,      -1.261972565,      -1.461408153,       1.778983397,     -0.7186427691,        4.33942401,      -6.131980808
          19,      -3.686573657,      -1.252954945,      -1.405688372,       1.789954227,     -0.5874290744,       4.003378012,      -6.316416539
          20,      -3.731311734,      -1.316804165,      -1.496443486,       1.729631831,     -0.4797764218,       4.125922687,      -6.089845073
          21,      -3.706633397,      -1.309027956,      -1.440956375,       1.739128544,     -0.3583219532,         3.9948237,      -6.354336636
          22,      -3.733381286,      -1.364467597,      -1.546039768,       1.689443499,     -0.2817034324,        4.30235503,      -5.926684254
          23,      -3.732963888,      -1.391865617,      -1.452634535,       1.664671246,      -0.189986912,       4.469176608,        -6.3399894
          24,      -3.730124892,      -1.427272552,      -1.553260677,        1.64249115,     -0.1560763934,       4.128147507,      -5.867106558
          25,      -3.719401771,      -1.457784017,      -1.447385764,       1.616417474,     -0.1056816489,       4.718154625,      -6.288431554
          26,      -3.670626927,      -1.449897587,       -1.47768265,       1.639395015,     -0.1154007586,       4.640408846,      -5.708275178
          27,      -3.649806555,      -1.468515239,      -1.422148971,       1.625248246,     -0.1138327443,       4.516789329,      -6.145916009
          28,      -3.648553709,      -1.475271507,      -1.542767274,       1.611674699,     -0.1371323579,       4.438171394,      -5.604505357
          29,      -3.643268902,       -1.50768749,      -1.422095479,        1.55987145,     -0.1374509469,       4.843126564,      -6.070147013
          30,      -3.639165799,      -1.481442683,      -1.555045722,       1.578845945,     -0.1549401162,       4.325095039,      -5.579429857
          31,      -3.649306304,      -1.501081016,      -1.444217964,       1.527016506,     -0.1515837166,       4.876972253,      -6.050984771
          32,      -3.652465177,      -1.475290968,      -1.586021062,       1.552319543,     -0.1631037074,       4.300782614,      -5.588228775
          33,      -3.677900927,      -1.478777736,      -1.474457314,       1.522938766,     -0.1632245515,       4.854062073,      -6.035955263
          34,      -3.687406525,      -1.462334248,      -1.628986693,       1.547658671,      -0.170928519,       4.486965561,      -5.685059085
          35,      -3.704455106,      -1.439338984,      -1.539656368,       1.570674701,     -0.1823745881,       4.910929618,      -6.119591086
          36,      -3.772200301,      -1.488081037,      -1.653604487,       1.518386742,     -0.1692497104,       4.473830971,      -5.827180951
          37,      -3.764365351,      -1.436123097,      -1.586104794,       1.584819291,     -0.1824802064,       4.424639029,      -6.100416168
          38,      -3.811434921,      -1.463733683,      -1.725830276,       1.552627399,     -0.1542758189,       4.517912368,      -5.980058344
          39,      -3.802039689,      -1.417182213,      -1.677921092,       1.622654557,     -0.1872703509,       4.577730379,      -6.149138651
          40,      -3.882106823,      -1.494055067,      -1.770730911,       1.535035156,     -0.1627537526,       4.485741701,      -6.227231516
          41,      -3.894005835,      -1.467325638,      -1.797345634,       1.581442784,     -0.2111120535,       4.179947457,      -6.230801882
          42,      -3.971993756,      -1.547365193,      -1.855288614,       1.479201897,     -0.2007621887,       4.213099222,      -6.295402431
          43,      -3.972013025,      -1.524448704,      -1.877894138,       1.526362441,      -0.255018441,       4.264128217,      -6.201654911
          44,      -4.032285989,       -1.60419237,      -1.912285352,       1.417478879,     -0.2496158413,       4.359356715,      -6.244947156
          45,      -4.008893961,      -1.564573854,      -1.905550455,       1.484656516,     -0.2976807846,       4.249174186,      -6.187598358
          46,      -4.061266381,      -1.637436846,      -1.959523609,        1.37478126,     -0.2990509629,       4.371028609,      -6.217598375
          47,      -4.037160927,      -1.599869642,      -1.955472373,        1.44081064,     -0.3429877965,       4.274455012,      -6.176316934
          48,      -4.086820744,      -1.665806792,      -2.008295058,       1.330889452,     -0.3522973875,       4.392479397,       -6.19193162
          49,       -4.06271871,      -1.629058344,      -2.012880359,       1.397420868,     -0.3949446581,       4.236023182,      -6.213409597
          50,      -4.118269618,      -1.690848911,      -2.085468624,       1.282041161,      -0.411689018,       4.408669058,      -6.148067314
          51,      -4.089339348,      -1.653204472,      -2.049502675,       1.358501348,      -0.454388634,       4.344256054,      -6.196626787
          52,      -4.145214753,      -1.713227233,      -2.126298623,       1.245418258,     -0.4755694396,       4.402338109,      -6.125776848
          53,      -4.119044065,       -1.67869272,      -2.092894009,       1.320221472,      -0.519610602,       4.359294844,       -6.18342154
