"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.832820025,      0.6778610824,      -13.41156981,       4.002265585,      -3.075257083,       5.404818183,       -4.45881652
           1,      -1.805786165,      0.4129183367,      0.4778899652,       3.668265522,      -2.786997488,       6.036502171,      -5.150246403
           2,      -1.884391407,      0.2646412838,      0.3600185673,       3.485432656,      -2.545852356,       6.409091584,      -4.880640964
           3,      -2.334296839,      0.3406699212,      0.1379130762,       3.065444555,      -2.318158139,       6.674202867,       -5.07526265
           4,      -2.578784592,      0.1694784312,     -0.3960039448,       2.970449195,      -2.286156556,       6.607025473,      -5.416147914
           5,      -3.018426342,     -0.2980993086,     -0.5761918659,       2.651306391,      -2.420968092,       6.206527467,      -5.712529213
           6,      -3.278401229,      -0.563536289,     -0.9173130837,       2.353266574,      -2.368645598,       5.680140947,      -5.618270662
           7,      -3.383515448,     -0.7498857704,      -1.026947515,       2.231902538,       -2.23355969,       5.049755787,      -5.884545002
           8,      -3.515038802,     -0.8984547567,      -1.164228253,       2.101941809,      -2.093755416,       4.946625801,      -5.870750061
           9,      -3.568211242,     -0.9611888411,      -1.201013853,       2.050174226,      -1.951096807,       4.503849054,      -5.959188811
          10,      -3.614401427,      -1.041083727,      -1.281255991,       1.977047604,      -1.825044831,       4.620835695,      -6.084156334
          11,       -3.64819461,      -1.083794939,      -1.306645854,       1.943132876,       -1.69533616,        4.22306988,      -6.030255259
          12,      -3.691091939,      -1.150268445,      -1.373062228,       1.879846783,      -1.584296504,       4.312929685,      -6.185323576
          13,      -3.710307195,      -1.173037509,      -1.380126064,        1.86341599,      -1.467210409,       4.204296949,      -6.052190524
          14,      -3.724884254,      -1.204469226,      -1.420459221,       1.832796523,      -1.369477709,       4.471269046,      -6.199212923
          15,      -3.719296114,      -1.203849869,      -1.414165221,       1.838847946,      -1.260654853,       4.235662219,      -6.202593236
          16,      -3.766367083,      -1.270095245,      -1.518662872,       1.769079023,      -1.169043284,       4.429777017,      -6.235884749
          17,      -3.759725022,      -1.267621412,      -1.453194031,       1.773220565,      -1.045816848,       4.289562143,      -6.247581644
          18,      -3.829377409,       -1.35228266,      -1.583572245,       1.691413302,     -0.9083768801,       3.949505274,      -6.287369028
          19,      -3.794572978,      -1.326386963,      -1.489622394,       1.717141012,     -0.7889177676,       4.034245459,      -6.250821279
          20,      -3.863534744,      -1.412847722,      -1.640040422,       1.632715689,     -0.6494138985,       4.267230184,      -6.331529508
          21,      -3.825586211,      -1.389267692,      -1.535083025,       1.656122949,     -0.5440081231,       4.398982371,      -6.077445135
          22,      -3.847759275,      -1.431061402,      -1.608032994,       1.618675597,     -0.4193517563,       4.157219312,       -6.32342815
          23,       -3.82832164,      -1.437411495,      -1.602489999,       1.619498933,     -0.3431736619,       4.548940605,      -5.839213394
          24,      -3.815454145,      -1.448391601,      -1.535652685,       1.615116466,     -0.2524273362,       4.328181293,      -6.074455651
          25,      -3.811079029,      -1.481350694,      -1.643824161,       1.597350183,     -0.2188620173,       4.116193797,       -5.74329221
          26,      -3.813633752,       -1.52964893,      -1.555603598,       1.549940657,     -0.1725673676,       4.777561707,      -6.061197999
          27,      -3.794515711,       -1.53729143,      -1.617000456,       1.559025462,     -0.1841473475,       4.113446602,      -5.701399406
          28,      -3.792970853,      -1.577298525,      -1.546569812,       1.516422583,     -0.1815482117,       4.839561096,      -6.067752004
          29,      -3.778525468,      -1.557838603,      -1.626398268,       1.535829678,     -0.2390745096,       4.514915546,      -5.794083339
          30,      -3.743317447,      -1.535201648,      -1.584869713,       1.534191276,     -0.2349555675,       4.907982465,       -6.26897077
          31,      -3.793172583,      -1.579879426,      -1.642207795,       1.489055451,     -0.2577684773,       4.255599099,      -5.878083686
          32,      -3.762375247,      -1.536211527,      -1.604673776,       1.522715949,     -0.2549421575,       4.714645848,      -6.293651739
          33,      -3.827581971,      -1.589647611,      -1.688189377,       1.466261001,     -0.2533912056,       4.180904274,      -5.938930147
          34,      -3.807962463,      -1.543146534,      -1.657074766,       1.513567324,     -0.2650874582,       4.605858433,      -6.287574391
          35,      -3.883889806,      -1.598499389,      -1.741970189,       1.451816132,     -0.2513563336,       4.212221904,      -5.994190356
          36,      -3.869718085,      -1.550782696,      -1.703401933,       1.506564645,     -0.2741255858,       4.531231258,       -6.27974511
          37,      -3.952830847,      -1.614227177,      -1.793868817,       1.434308018,     -0.2542693472,       4.230795703,      -6.045148995
          38,       -3.93997786,      -1.572857942,      -1.771453176,       1.488614568,     -0.2895714107,       4.475366263,      -6.271702855
          39,      -4.026126663,      -1.639028261,      -1.868256121,       1.408108047,     -0.2789234762,       4.250902407,      -6.085544961
          40,      -4.011747452,      -1.605981943,      -1.849121405,         1.4594061,     -0.3195528205,       4.441681196,      -6.261735245
          41,      -4.093130005,       -1.67276982,      -1.936150341,       1.372384564,     -0.3146408532,        4.27640756,      -6.104469131
          42,       -4.06940682,      -1.644525209,      -1.921897285,       1.421679476,     -0.3579401579,       4.434912974,      -6.245259969
          43,      -4.142282309,      -1.709066276,      -2.000025649,       1.329728747,     -0.3615888167,       4.138511511,      -6.235241544
          44,      -4.135444342,      -1.685288367,       -2.03293789,       1.366086386,     -0.4054358863,       4.390038268,      -6.253633254
          45,      -4.216654108,      -1.760595845,      -2.049731586,       1.265701329,     -0.4376080061,       4.366346261,      -6.200452709
          46,      -4.227279451,       -1.76341345,      -2.073939487,       1.255009764,     -0.4521799747,       4.423956273,      -6.174850883
          47,      -4.221656912,      -1.754098793,       -2.11682389,       1.241268572,     -0.4742995252,       4.286966405,       -6.26469395
          48,      -4.219992842,      -1.730008291,      -2.160751779,       1.270688347,     -0.4863917103,       4.400043288,      -6.106445149
          49,      -4.242367584,      -1.758202767,      -2.095587929,       1.213689049,     -0.5112928887,       4.487248589,      -6.225213162
          50,      -4.238495194,      -1.737698129,      -2.195099444,       1.247398464,     -0.5244402022,       4.345999857,      -6.091734601
          51,      -4.262710103,      -1.767615778,      -2.150793511,        1.19061729,     -0.5541912773,       4.490754106,      -6.195197082
          52,      -4.261231896,      -1.748715042,      -2.231228729,       1.222757159,      -0.585014174,        4.36712111,      -6.096200567
          53,      -4.302401438,      -1.795123242,      -2.173089549,        1.17222121,     -0.6192705381,       4.470920909,      -6.164341953
          54,      -4.284885907,      -1.760841013,      -2.275343453,       1.202743816,     -0.6534085708,       4.335891936,      -6.118036581
          55,      -4.330037889,      -1.809985753,      -2.230622991,       1.157471192,     -0.6903803862,        4.36512404,      -6.191582688
          56,      -4.320421484,      -1.778451578,      -2.317766812,       1.186145113,     -0.7227192958,       4.465427761,      -6.062565003
          57,      -4.352776803,       -1.82723519,        -2.2417733,       1.152542518,     -0.7616497464,       4.514403508,      -6.157378887
          58,      -4.361282186,      -1.822555085,      -2.299045936,       1.162879026,      -0.794165104,        4.41786933,      -6.027321907
          59,       -4.37584566,       -1.85073104,      -2.267824452,       1.145391451,     -0.8273042668,       4.532262768,      -6.117503461
          60,      -4.369196045,      -1.834884355,      -2.356128418,       1.148561647,     -0.8522584844,       4.338574251,      -6.070816911
          61,      -4.409613246,      -1.884978346,      -2.319368965,       1.124104495,      -0.879056818,       4.499281961,      -6.085307773
          62,      -4.413740729,      -1.887854373,      -2.361794051,         1.1213489,     -0.9041551253,       4.438310716,       -6.04696345
          63,      -4.432490419,      -1.923553762,      -2.351307757,       1.106038909,     -0.9263316169,       4.482578441,      -6.068289882
          64,      -4.420118436,      -1.906600833,      -2.404222716,       1.102878748,     -0.9505373903,       4.495009596,      -6.011624811
          65,      -4.464067538,      -1.977874305,      -2.367723499,       1.074880724,      -0.977587532,       4.437540905,      -6.063748761
          66,        -4.4438546,      -1.960261814,      -2.438144224,       1.073094269,      -1.001047481,       4.346492142,      -6.072412873
          67,      -4.487467857,      -2.012849398,      -2.432951557,       1.057429023,       -1.02407952,       4.433991188,      -6.047653191
          68,      -4.486754971,      -2.023854427,       -2.45850183,       1.040475679,       -1.04763459,       4.394022382,      -6.065196906
          69,      -4.508341358,       -2.06136106,      -2.468995992,       1.031020864,      -1.071063492,       4.364721215,      -6.074779864
          70,      -4.552282643,      -2.117584433,       -2.50918334,      0.9666560424,      -1.095063846,       4.412873625,      -6.026344411
          71,      -4.484880117,      -2.063536126,      -2.515060513,       1.047516411,      -1.107808591,       4.375307137,      -6.097425973
          72,      -4.551026565,      -2.153321915,      -2.539075607,      0.9414887104,      -1.143829443,       4.328935327,      -6.031890461
          73,      -4.521915557,      -2.127935443,      -2.549382064,       1.009566117,      -1.146122324,       4.341912308,      -6.101215882
          74,      -4.570683355,       -2.20206732,      -2.577937888,      0.9135128673,      -1.183662494,       4.263722443,      -6.067256109
          75,      -4.581295262,      -2.218150673,      -2.600598306,      0.9423413747,      -1.192871217,       4.358222043,      -6.071424623
