"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,       -1.86622603,      0.5877742926,      -13.76377866,       3.764725058,      -3.334110307,       4.364501312,      -4.502541879
           1,      -2.056182919,      0.1264416067,     0.06513116139,       3.316827418,      -3.029173516,       4.936592574,       -5.09881489
           2,      -2.184699928,    -0.04982755402,    -0.01417240754,       3.099480373,      -2.799228538,       6.361011474,      -4.837591712
           3,      -2.534047647,      0.1601225959,     -0.1988047326,       2.769497847,      -2.554680671,       6.591609131,      -4.826694257
           4,      -2.816752083,    -0.08102902356,     -0.6071304374,       2.696085011,      -2.513192115,       6.776850448,      -5.218440015
           5,      -3.151240742,     -0.5208935788,     -0.8099703616,       2.407978459,      -2.544267818,       6.312799757,      -5.316748711
           6,      -3.354656479,     -0.7235585719,      -1.045006994,       2.175453046,      -2.425863976,       5.679273994,      -5.567989809
           7,      -3.421431864,     -0.8593175319,       -1.09171957,       2.099207341,      -2.295864177,       5.485254808,      -5.762024264
           8,      -3.513776794,     -0.9817543634,       -1.24098812,       1.986711873,      -2.166916532,       4.894008842,      -5.746667814
           9,      -3.536309684,       -1.03579389,      -1.227109071,       1.947179214,      -2.044400609,       5.050611603,      -5.848087483
          10,      -3.597876756,      -1.118527714,      -1.349930714,       1.868266011,      -1.929694539,       4.619118714,      -5.615077713
          11,      -3.610319627,      -1.157201735,      -1.330945964,       1.840913535,      -1.821044443,       4.693314009,      -5.693520192
          12,      -3.653196083,      -1.212485545,       -1.39995776,       1.788443256,      -1.723940361,       5.072709437,      -5.791592409
          13,      -3.687597574,      -1.260699051,      -1.470251765,       1.743633075,      -1.623758914,       5.049260247,      -6.009753717
          14,      -3.721239215,      -1.306518482,      -1.456863101,       1.696615755,      -1.536228232,       4.642540851,      -5.891570696
          15,      -3.711296404,      -1.301354699,      -1.459145141,       1.708461316,      -1.450184617,       4.441255609,      -5.829867807
          16,      -3.741015262,      -1.329153949,      -1.514242117,       1.679277486,      -1.368103471,       4.372989533,      -5.644244083
          17,      -3.733553554,       -1.33517971,        -1.5138229,       1.676531255,      -1.264202212,       4.900650461,      -5.811632294
          18,      -3.804015728,      -1.408782863,      -1.599745333,       1.606022814,      -1.146648214,       5.036413793,      -5.898016312
          19,      -3.783614957,      -1.397062779,      -1.545928281,        1.61495984,      -1.044610945,       4.903459285,      -6.134790536
          20,      -3.853085435,      -1.474805028,      -1.674816007,       1.540762522,     -0.9195688412,       4.791370679,      -6.219144514
          21,      -3.825766144,      -1.455547088,      -1.583827039,       1.558582061,     -0.8180273184,       4.644120073,      -6.444879943
          22,      -3.895015461,      -1.539855634,       -1.73604439,       1.478732907,     -0.6951114966,       4.357061564,      -6.401426702
          23,      -3.856575201,      -1.513461089,      -1.608636405,        1.50814702,     -0.6093680012,       4.535302452,      -6.166521905
