"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.724166719,      0.7516247664,      -13.28720114,       3.998485641,      -3.066723362,       5.182736196,      -4.454009192
           1,      -1.783361123,       0.380451288,       0.447264734,       3.627337273,      -2.738048594,       5.940743644,      -5.166617837
           2,      -1.915953653,      0.2282953531,      0.3360308818,       3.422479097,      -2.465189309,       6.275530467,      -5.077274618
           3,      -2.267088361,      0.3881294126,     0.09871805076,       3.086459133,      -2.184645801,       6.520037394,      -4.994524612
           4,      -2.494084115,      0.3594767621,     -0.3351197187,       2.973185126,      -2.141785397,       6.435399797,      -5.259511641
           5,      -2.903531559,    -0.08045094184,     -0.5716356289,        2.71380024,      -2.255073079,       6.160085655,      -5.610400837
           6,      -3.170958704,     -0.3977592631,     -0.8473588891,       2.416849806,      -2.211287931,       5.719559435,       -5.50603576
           7,      -3.277416049,     -0.6131395997,     -0.9199892814,       2.308208305,      -2.079371958,       5.059653404,      -5.757226404
           8,      -3.387217918,     -0.7799803693,      -1.046798332,       2.199070135,      -1.940620127,       5.096539247,       -5.87494096
           9,      -3.448294134,     -0.8470822625,       -1.09348045,       2.142290078,      -1.802137437,       4.472394928,       -5.78509277
          10,      -3.494476169,     -0.9283255924,      -1.151528919,       2.071622014,      -1.676732579,       4.705911351,      -5.946489141
          11,       -3.51011384,     -0.9572432338,      -1.160922721,       2.054049217,      -1.553533723,       4.364111983,      -5.891980088
          12,      -3.550794049,      -1.022647785,      -1.237140313,       1.991951672,      -1.445331482,       4.346450079,      -6.061544562
          13,      -3.570366252,       -1.04208634,      -1.238119803,       1.977154657,      -1.335566573,       4.240576507,      -5.932917743
          14,      -3.585878244,      -1.074148841,      -1.278640119,       1.945771523,        -1.2426624,       4.528904859,      -6.083758464
          15,      -3.578789769,      -1.067687694,       -1.26979734,       1.956164792,      -1.140864846,       4.254908734,      -6.054615246
          16,      -3.629374274,      -1.139393291,      -1.380473225,       1.882076477,      -1.051009398,        4.54759358,      -6.146696302
          17,      -3.621269701,      -1.132360767,      -1.310555728,        1.88939621,     -0.9308116351,       4.298269199,      -6.090247926
          18,      -3.687120703,      -1.212934589,      -1.440315615,       1.809652594,     -0.8011289745,       4.024723763,      -6.179914353
          19,      -3.654920168,      -1.187120992,      -1.349973426,       1.835648565,     -0.6827526832,       4.065217234,      -6.110203063
          20,      -3.723568037,      -1.275477351,      -1.504848638,        1.74814528,      -0.546631287,       4.404780327,      -6.239661591
          21,      -3.684438254,      -1.246874719,      -1.384896378,       1.779899106,     -0.4372686122,       4.414664681,      -5.976950227
          22,      -3.704871944,      -1.287670397,      -1.471819911,        1.74118953,     -0.3103594364,       4.282486839,      -6.232675321
          23,       -3.69013403,      -1.298233806,      -1.466103989,        1.73866633,     -0.2270874421,       4.596311381,      -5.754358678
          24,      -3.677423689,      -1.313808053,      -1.411319778,       1.727196026,     -0.1357229822,         4.4320208,      -6.000617181
          25,      -3.675571564,      -1.350851379,      -1.510560306,       1.710202456,    -0.09932868354,       4.296335586,      -5.634838181
          26,      -3.670142466,      -1.398499719,      -1.418703023,       1.668903867,     -0.0582097111,       4.873323445,      -5.979618688
          27,       -3.65199368,      -1.415316118,      -1.483527688,       1.674155428,    -0.08234766274,       4.183159989,      -5.614532383
          28,       -3.63075377,      -1.446540247,      -1.429200589,        1.63932586,    -0.06900602549,       5.060174575,      -6.149237792
          29,      -3.654057683,      -1.473061151,      -1.480727515,        1.61647179,     -0.1218855853,       4.391216015,      -5.693048991
          30,      -3.619477429,      -1.456672633,      -1.438470674,       1.617482521,     -0.1163807318,       4.865548837,      -6.162863099
          31,      -3.664500315,      -1.484540739,      -1.524834003,       1.578214785,     -0.1422982794,       4.461174831,      -5.671428492
          32,      -3.636231557,       -1.44829926,      -1.456275858,       1.589462968,      -0.139784349,       4.864662185,      -6.134675205
          33,      -3.693876247,      -1.484793674,      -1.561223761,       1.546831728,     -0.1416248897,       4.363556077,      -5.709545406
          34,      -3.677295992,      -1.436720213,      -1.496376034,       1.580232452,     -0.1473791351,       4.808804612,      -6.130928047
          35,      -3.744387833,      -1.481242476,        -1.6063834,       1.531973284,     -0.1351506698,       4.430631611,      -5.778586478
          36,      -3.735348397,      -1.433439495,      -1.545975133,       1.582696557,     -0.1520968703,        4.71594012,      -6.123029329
          37,      -3.807138055,      -1.487431963,      -1.659693835,       1.523643608,     -0.1296268566,        4.46995631,      -5.852556085
          38,      -3.798014089,      -1.445431758,      -1.601576468,       1.577855157,     -0.1559919857,        4.62918145,      -6.114792957
          39,       -3.87103856,      -1.510756355,      -1.716937581,       1.507639204,     -0.1344887907,       4.524261679,      -5.963536673
          40,      -3.866108957,      -1.478079666,      -1.668860527,        1.55600633,     -0.1634520972,       4.397315128,      -6.114212583
          41,      -3.906591127,       -1.51071003,      -1.796259639,       1.521457042,     -0.1455251303,       4.653343776,      -6.249931077
          42,      -3.917340815,      -1.485085144,      -1.811403399,        1.56166792,     -0.1956701685,       4.509551234,      -6.209108536
          43,      -3.990159701,      -1.563879018,      -1.845875835,       1.465860935,      -0.189373974,       4.219432274,      -6.347007094
          44,      -4.013307589,      -1.561249223,      -1.930990537,       1.483872335,     -0.2404257495,       4.308317447,      -6.087680257
          45,      -4.035911524,      -1.598726535,      -1.842328058,       1.427823886,     -0.2394686951,       4.465661385,      -6.338771706
          46,      -4.046672838,      -1.597047068,      -1.978515474,       1.445346622,     -0.2839136984,       4.241043691,      -6.075997648
          47,      -4.069103758,      -1.629021589,      -1.902780584,       1.384760762,     -0.2898438243,       4.471272105,      -6.328801283
          48,       -4.07816599,      -1.622734567,      -2.021656909,       1.402696726,      -0.330004699,       4.260253205,       -6.06950872
          49,      -4.097158721,      -1.654162985,      -1.952342252,       1.344442166,     -0.3433934373,       4.485499473,      -6.305151553
          50,      -4.104990397,      -1.646999457,       -2.07426502,       1.362346194,     -0.3826863313,        4.28802596,      -6.064195048
          51,      -4.122851902,      -1.677301414,      -2.018551598,        1.30582634,       -0.40348168,       4.498023474,      -6.275366771
          52,      -4.130857208,      -1.669039847,      -2.126896499,       1.323699396,     -0.4437132363,       4.247915475,      -6.097992794
          53,      -4.154172986,      -1.702503283,      -2.085356946,        1.26399288,     -0.4701832247,       4.504695745,      -6.225480734
          54,      -4.158241752,      -1.693487664,      -2.146035468,       1.287895014,     -0.5175745141,       4.382161945,      -6.106222044
          55,      -4.200399275,      -1.744646423,      -2.098154957,       1.234626274,     -0.5647684825,       4.486697936,      -6.174143023
          56,      -4.189228665,         -1.716388,      -2.184043916,       1.254210051,       -0.60943582,       4.427695062,      -6.088740621
          57,      -4.230791343,      -1.767784782,       -2.14825421,       1.205437456,     -0.6517953232,       4.398927569,      -6.210269017
          58,      -4.228853394,      -1.748412372,      -2.243159834,       1.212974712,     -0.6912192314,       4.437891556,      -6.054380775
          59,       -4.25970801,      -1.793829558,      -2.173630828,       1.181587114,     -0.7294508563,       4.528688771,      -6.179362121
          60,      -4.272060911,      -1.799572739,      -2.235051274,       1.177654981,     -0.7838584439,       4.414018592,       -6.02736357
