"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.786418436,      0.6778610824,      -13.41350551,       3.898269895,      -3.191378119,       4.938051162,      -4.448763052
           1,      -1.880506528,      0.2895323432,      0.3181658876,       3.500133537,      -2.816493154,       5.324905499,      -5.110889242
           2,      -2.005950685,      0.1676318354,      0.2595212404,       3.310905048,       -2.49805835,       6.404562287,       -4.92285628
           3,      -2.366634432,      0.4796218007,     0.02707218654,         2.9872872,      -2.188265852,       6.681646242,      -4.848472875
           4,      -2.617724255,     0.06860110398,      -0.420754688,       2.884272644,      -2.256492998,       6.757578857,      -5.326916495
           5,      -3.016785753,      -0.337939948,     -0.6109509553,       2.603100094,      -2.386982703,       6.428139688,      -5.546109725
           6,      -3.222890407,     -0.5345370816,     -0.9092465005,       2.354912231,      -2.296637058,       5.859310891,      -5.536952208
           7,      -3.322846928,     -0.7094539372,     -0.9667998915,       2.252833704,      -2.157852194,        5.42636533,      -5.795717754
           8,      -3.436471039,     -0.8312831889,      -1.113975814,       2.125755798,      -2.014538461,       4.884418082,      -5.537329772
           9,      -3.469111953,     -0.8964747883,      -1.116387521,       2.077122618,       -1.88134789,       4.822264363,        -5.7292304
          10,      -3.519241941,     -0.9703722988,      -1.199183683,       2.011706945,      -1.756067954,       5.019494802,      -5.662356729
          11,      -3.544534129,      -1.012627333,      -1.222836404,       1.976795728,      -1.638057259,       4.983732381,      -5.881930621
          12,      -3.582929509,      -1.071481325,      -1.272576789,       1.921582767,      -1.530855238,       5.038489726,      -5.996080362
          13,      -3.603370569,      -1.097296615,      -1.304354855,        1.89952685,      -1.423738851,       4.835777091,      -6.061145695
          14,      -3.642448521,       -1.15596371,      -1.350522645,       1.841254202,      -1.326764114,       4.730473094,      -6.151139572
          15,      -3.654126377,      -1.164769458,      -1.364426894,       1.834204418,      -1.229465434,       4.457497153,      -5.903612838
          16,      -3.633830156,      -1.154409698,       -1.32337997,       1.845090984,      -1.136009423,       4.519584811,      -6.143115103
          17,      -3.673615216,      -1.202448588,      -1.471806342,       1.799457038,      -1.011515695,       4.621450828,       -5.74799021
          18,      -3.700489126,      -1.246306246,      -1.396926272,       1.753540587,     -0.8820287551,       4.620781208,      -5.723165709
