"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.727393343,      0.6778610824,      -13.41156976,        3.79143256,      -3.302170051,       3.485573076,      -4.488788547
           1,      -2.073535078,       0.175130352,     0.01025122376,       3.308224429,      -2.954032286,       5.271352469,      -5.107581678
           2,      -2.447561366,    -0.02515649599,    -0.03273158753,       2.985430345,       -2.69151909,       6.180831746,      -5.000256336
           3,      -2.458559226,      0.2279796707,     -0.2612366521,       2.853734353,      -2.409508524,       6.011291528,      -4.852221149
           4,      -2.627511135,      0.1933590661,     -0.5079975901,       2.764183491,      -2.361088882,       6.386501588,      -5.376411571
           5,      -3.010317912,     -0.2249961188,     -0.7230531363,       2.492996527,      -2.434816416,       6.231642489,      -5.567314128
           6,       -3.21966614,     -0.5145036051,     -0.9450047819,         2.2661703,      -2.395243892,       5.660935684,      -5.591604852
           7,      -3.338284225,     -0.7106306154,      -1.007095546,       2.155423831,      -2.298931143,       5.242845204,      -5.854498274
           8,       -3.45602338,     -0.8615756618,      -1.144463737,       2.041932752,      -2.195637116,       4.746791316,      -5.599653947
           9,       -3.50563612,     -0.9348964136,      -1.165425266,        1.98574885,      -2.103498799,       4.488937286,      -5.740251902
          10,       -3.58124242,      -1.018269283,      -1.272740333,       1.906309526,      -2.016116596,       4.755254246,       -5.60556722
          11,      -3.610154744,      -1.067752638,      -1.277301223,       1.867473534,      -1.935424178,       4.675162294,      -5.713595304
          12,      -3.675456138,      -1.135146149,      -1.372079045,       1.801146456,      -1.857088861,       4.827159067,      -5.666225482
          13,      -3.693543004,      -1.169819089,      -1.373246371,       1.772911242,      -1.781414665,        4.78830628,      -5.777627429
          14,      -3.755183718,      -1.229655467,      -1.459597226,       1.712062342,      -1.706653054,       4.805064592,      -5.774384553
          15,      -3.763576092,       -1.25151253,        -1.4477447,       1.695640774,      -1.634771342,       4.759750572,       -5.89577456
          16,      -3.821904574,      -1.307293736,      -1.534176421,       1.638581894,      -1.559420242,       4.707448513,      -5.908123324
          17,      -3.824382902,      -1.320326297,      -1.511559103,       1.629855213,      -1.474621457,       4.898946302,      -6.311358967
          18,      -3.881287466,      -1.386117065,      -1.585103559,       1.570011565,      -1.371051691,       4.599787765,      -6.246460979
          19,      -3.885491378,      -1.393500873,      -1.578758046,       1.565573805,      -1.274957751,       4.190835073,      -6.405784737
          20,      -3.941152137,      -1.456877541,      -1.650264356,       1.505384457,      -1.170286215,       4.147636641,      -6.338161833
          21,      -3.936117937,      -1.455986176,      -1.626565649,       1.510101237,      -1.058699027,       4.258071628,      -6.432421781
          22,      -3.956787031,      -1.484111978,      -1.666064878,       1.485562835,     -0.9528828157,       4.085271817,      -6.300103785
          23,      -3.937720418,      -1.470937424,      -1.655442305,       1.503731724,     -0.8424268786,       3.696169898,      -6.403663054
          24,      -3.999693078,      -1.541352218,       -1.75218297,       1.436593306,     -0.7530926215,        3.80428284,      -6.226913704
          25,      -3.984176198,      -1.540021856,      -1.690861626,       1.442703265,     -0.6533484623,       4.252175318,      -6.420357474
          26,      -4.037958792,      -1.609759767,      -1.804006113,        1.38085173,     -0.5916008198,       3.939438294,      -6.230310968
          27,      -4.014991619,       -1.61158781,      -1.731355408,       1.388537609,     -0.5135130611,       4.339840932,      -6.487944689
          28,      -4.061681963,      -1.682705664,      -1.832668204,       1.331048524,      -0.490034435,       3.854882515,      -6.232888755
          29,      -4.027235421,      -1.682760435,      -1.748319052,       1.344923124,     -0.4474495616,       4.515614519,      -6.522303768
          30,      -4.078905886,      -1.771993899,      -1.861233106,       1.270540261,     -0.4262175168,        4.17456067,      -6.449656112
          31,      -4.020954571,       -1.72998897,      -1.742698249,        1.31712868,     -0.4533326084,       4.083763354,      -6.468382993
          32,       -4.09178003,      -1.801641127,      -1.909040086,       1.233508113,     -0.4755649692,       4.250293988,      -6.360961586
          33,      -4.039648433,      -1.746428706,      -1.763629547,       1.280452386,     -0.5251683465,       3.883517101,      -6.602998023
          34,      -4.097810922,      -1.790500797,      -1.943276328,       1.222324803,     -0.5441810352,       3.757191006,      -6.406762373
          35,      -4.042211278,      -1.712670805,      -1.815457471,       1.284561854,     -0.5700038762,       4.207894012,      -6.537653965
          36,      -4.137566421,      -1.789523174,      -1.948380278,       1.195304965,     -0.5720940433,       3.847314309,       -6.43362901
          37,      -4.085398617,      -1.706842844,      -1.862856139,       1.269120515,     -0.5906072823,       4.012417989,      -6.548002544
          38,      -4.192004683,       -1.78936793,      -1.993738485,       1.172424892,      -0.589109463,       3.872803209,      -6.444562361
          39,       -4.14110295,      -1.702635184,       -1.90799322,       1.252290226,     -0.6020161337,       4.002395647,      -6.572888141
          40,      -4.252342675,       -1.78711632,      -2.035588972,       1.156390009,     -0.6015353722,       3.866871347,      -6.456964538
          41,      -4.205297664,      -1.704495488,       -1.96681968,       1.235450734,     -0.6102790069,       4.002582327,      -6.595846933
          42,      -4.320564807,      -1.794347359,      -2.080483536,       1.136811447,     -0.6153744369,       4.006040616,      -6.440249843
          43,       -4.27672315,      -1.728614503,      -2.024126547,         1.2087632,     -0.6333999386,       4.022926352,      -6.575507417
          44,       -4.39337821,       -1.79599158,      -2.148484273,       1.114814296,     -0.6247634572,       3.939749907,      -6.489862486
          45,      -4.350315424,      -1.750027016,       -2.08942518,       1.173859529,     -0.6510850163,       4.085167311,       -6.60775595
          46,         -4.469018,       -1.83495877,      -2.186956247,       1.070335615,     -0.6627731406,       4.008594175,       -6.48492671
          47,      -4.424624151,      -1.791779284,      -2.149745894,       1.122899613,     -0.7226353233,       4.002643669,      -6.585404405
          48,      -4.550765651,      -1.860469048,      -2.253959456,       1.017813104,     -0.7369850573,        4.01956027,      -6.486588156
          49,      -4.500466688,      -1.824609397,      -2.220339639,       1.062785081,     -0.7852585539,       4.032656118,      -6.584509147
          50,      -4.624493116,      -1.895557496,      -2.321216141,      0.9485622205,      -0.803528534,        3.99745177,      -6.528845566
          51,      -4.580146973,      -1.861961087,      -2.304884537,       0.985912305,     -0.8477663318,        4.05337978,       -6.56261223
          52,      -4.693719913,      -1.931956919,      -2.372757401,      0.8715705798,      -0.871263072,       4.075040177,      -6.518736854
          53,      -4.648601164,      -1.902078742,      -2.366656079,      0.9095683266,     -0.9149161518,       3.943212887,      -6.593704915
