"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.909847932,      0.5877742926,      -13.78586184,       3.870649211,      -3.219291013,       5.120866165,      -4.474695455
           1,      -1.931603108,      0.2543450853,      0.3028998822,       3.495755881,      -2.949946322,        5.69445708,      -5.131282772
           2,      -2.015723037,     0.09254542198,      0.1918334331,       3.319553373,      -2.730973285,       6.477456718,      -4.760463643
           3,      -2.471660401,      0.1686268013,    -0.02252980462,       2.885527088,      -2.507990616,       6.837435993,      -4.996112754
           4,      -2.729539561,    -0.05079358675,     -0.5305867974,       2.757716377,      -2.483204952,       6.811995802,      -5.437981509
           5,       -3.15629485,     -0.5156799076,     -0.7264281663,       2.437443178,       -2.57604112,       6.290226943,      -5.409237808
           6,      -3.390791516,     -0.7245195843,      -1.017022828,       2.187262758,      -2.465990719,       5.732408729,      -5.676186279
           7,      -3.476235104,      -0.880663686,      -1.143279326,       2.099741122,      -2.326097922,       5.311777259,      -5.608607132
           8,      -3.585747924,      -1.008630275,      -1.254959259,       1.981943745,      -2.188526852,       4.878847423,       -5.84188318
           9,      -3.620759537,      -1.059406721,      -1.274377967,       1.946919849,      -2.050309869,       5.019438874,      -5.876310672
          10,       -3.67391884,      -1.143222235,      -1.387166166,       1.866178296,      -1.924769133,       4.759594584,      -6.053948162
          11,      -3.687747378,      -1.171124031,      -1.357977205,       1.848262373,      -1.800293405,       4.838429323,      -6.212536797
          12,      -3.741045407,      -1.242826763,      -1.478526532,       1.778239033,      -1.687872959,       4.336822574,      -6.044945441
          13,      -3.747577504,      -1.261049658,      -1.441652597,       1.765527896,       -1.57834042,       4.400426709,      -6.063964519
          14,      -3.772588522,      -1.290922787,      -1.504069183,       1.737349775,      -1.480677519,       4.295268599,       -5.85071329
          15,      -3.759934068,      -1.292012794,       -1.49000956,       1.740617202,      -1.380768204,       4.095652866,      -5.853113723
          16,      -3.813957579,       -1.35467431,      -1.603361406,       1.676338335,      -1.290079424,       4.237199302,      -5.735738044
          17,      -3.810598312,      -1.365928303,      -1.553753479,       1.664279513,      -1.170136928,       4.935174307,      -5.978666636
          18,      -3.852095083,      -1.410804814,      -1.631119927,       1.624814192,      -1.045653013,       4.899627997,       -5.97265992
          19,      -3.859823432,       -1.43212363,      -1.581281024,       1.601041533,     -0.9298618321,       4.712396841,      -6.244707577
          20,      -3.892381313,      -1.473053505,      -1.711839696,       1.564642707,     -0.8003069884,       4.497134947,      -6.112074246
          21,      -3.896532618,      -1.492519886,      -1.613175956,       1.542594601,     -0.6965257156,       4.507652421,      -6.439756413
          22,      -3.923399495,      -1.532830622,      -1.759201278,       1.508182058,     -0.5746204892,       4.012991279,      -6.163238008
          23,      -3.920160567,      -1.552090384,      -1.642013968,       1.490188045,     -0.5015286506,       4.543748358,       -6.54006991
          24,      -3.905190378,      -1.554152808,      -1.715926896,       1.499460127,     -0.4049798328,       3.931444295,      -6.153444085
          25,      -3.860844624,       -1.54167604,      -1.615904619,       1.524162843,     -0.3749053269,       4.446206468,      -6.466481924
          26,      -3.919868639,      -1.630247829,      -1.769445513,       1.443746107,     -0.3157298494,       3.898794959,      -6.196610887
          27,      -3.860898702,      -1.615198833,      -1.615773433,       1.473052695,     -0.3434355585,       4.217728281,      -6.490892095
          28,      -3.894053723,      -1.666177253,      -1.771649628,       1.418688214,     -0.3117370052,       4.407306251,      -6.058828301
          29,      -3.855664711,      -1.655419517,      -1.627323844,       1.434304343,     -0.3694743559,       4.156967748,       -6.40909707
          30,      -3.898759938,      -1.679825355,       -1.79621269,       1.395225942,     -0.3414796569,       4.344755653,      -5.917490976
          31,      -3.866598186,      -1.671289488,      -1.654722878,       1.398037479,     -0.3866123486,       4.649967401,      -6.352701073
          32,      -3.937929372,      -1.714466947,      -1.794628484,       1.348846729,     -0.3587805268,       4.310981152,      -6.016773311
          33,      -3.894142285,      -1.663598296,      -1.703055559,       1.383660615,     -0.3950027812,       4.379152053,      -6.325290013
          34,      -3.955206557,      -1.680049884,      -1.842049911,       1.355287617,     -0.3791189282,       4.021458294,      -5.973100118
          35,      -3.943619416,      -1.656348708,      -1.744309031,       1.369830966,     -0.3951481211,        4.46017314,      -6.270145665
          36,      -4.008939512,      -1.677815992,      -1.886869958,       1.350828431,     -0.3929291355,       4.528162415,      -6.140816896
