"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.680544817,      0.7516247664,      -13.28720111,       3.919045743,      -3.169638309,       4.384627178,      -4.479110644
           1,      -1.905059665,      0.2760271311,      0.2149579745,       3.477444698,      -2.806849557,        4.99153051,       -5.06681528
           2,      -2.103655937,      0.1099666086,      0.1405772456,       3.225608749,      -2.544251252,       6.215438172,      -5.068039373
           3,      -2.334425418,       0.369052756,    -0.04529853291,       2.978795084,      -2.280171206,       6.274717784,      -4.747303858
           4,      -2.565342716,       0.258060757,     -0.4093761695,       2.931492433,      -2.230847344,       6.546107101,      -5.195138835
           5,      -2.907826855,      -0.172750648,     -0.6336743967,       2.668168362,      -2.301340311,       6.336952191,      -5.418431495
           6,      -3.143246753,     -0.4475772776,     -0.8544017745,       2.391192422,      -2.243278147,       5.784301785,      -5.504299582
           7,      -3.247780331,     -0.6350668101,     -0.9144079343,       2.284256972,      -2.123667785,       5.395017885,      -5.738960257
           8,      -3.353139809,     -0.7806431877,      -1.050145579,       2.168151057,      -1.998323216,       4.785019683,      -5.532734128
           9,      -3.381503174,     -0.8439481946,      -1.055531126,       2.121042537,      -1.882588466,       4.724529556,      -5.610280001
          10,      -3.446284847,     -0.9263691252,      -1.161331826,       2.045310629,      -1.771220988,       4.685926569,      -5.479931179
          11,      -3.460905651,     -0.9691778021,      -1.155441315,       2.013855959,      -1.668888756,       4.636936504,      -5.525884766
          12,      -3.520079028,      -1.033756615,      -1.249825861,       1.950242442,      -1.569424336,       4.850818954,      -5.474438287
          13,      -3.527749473,      -1.063895463,      -1.244737268,       1.925978273,      -1.475299187,       5.022499539,      -5.591885219
          14,      -3.567643052,      -1.106964305,      -1.284224481,       1.884263971,      -1.385696598,       5.030635945,      -5.648949593
          15,      -3.580328102,      -1.131441832,       -1.32561481,       1.861624449,      -1.297771495,       4.946452415,      -5.772724597
          16,       -3.59081727,      -1.140010788,      -1.297905678,       1.852754616,       -1.21429359,       4.782205743,      -5.797055962
          17,      -3.590506725,      -1.147314149,      -1.360648661,       1.848750854,      -1.100372963,       5.034892786,      -6.189059308
