"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.786442999,      0.6778610824,      -13.41156992,       3.892074575,      -3.189511661,       4.827745108,       -4.47554104
           1,      -1.902991509,      0.2570504457,      0.2884380558,       3.486946831,      -2.881532002,       5.186964334,      -5.139220247
           2,      -2.024829162,     0.08607368353,      0.1844482571,       3.278849721,      -2.619077004,       6.315511029,      -4.956563335
           3,      -2.398765135,      0.2588716939,    -0.03262516189,       2.947477744,      -2.359767273,       6.575656829,      -4.907331799
           4,       -2.61878383,      0.1643794022,     -0.4794343815,       2.847123813,      -2.311941526,       6.598393706,      -5.339416109
           5,      -3.018339486,     -0.2694087759,     -0.6901846038,        2.56495421,       -2.38794501,        6.27491211,      -5.599108784
           6,      -3.259765558,     -0.5464698094,     -0.9411024997,       2.297941989,      -2.307076631,       5.724564282,      -5.532471735
           7,       -3.34397595,     -0.7288705244,      -1.006696487,       2.208276045,       -2.17661202,       5.237748412,       -5.80633496
           8,      -3.454622202,     -0.8762917819,      -1.145487707,       2.095260121,      -2.039958004,       4.853719315,      -5.600154535
           9,        -3.4835202,     -0.9329133696,      -1.141872597,       2.054342849,      -1.911022508,       4.556655848,       -5.77656458
          10,      -3.548759254,      -1.016414703,      -1.258982182,       1.976591136,      -1.788443918,       4.717097472,      -5.636593711
          11,      -3.561759923,      -1.052435192,      -1.238438232,       1.950417554,      -1.671118537,       4.989318332,      -5.912748422
          12,      -3.593571333,      -1.105156123,      -1.296491793,       1.903021592,      -1.568057704,       4.979583121,       -6.02762811
          13,      -3.614399999,      -1.131431317,      -1.325795452,       1.881301383,       -1.46252865,       4.695931697,      -6.084994915
          14,      -3.654247687,      -1.191871283,      -1.378429083,       1.820260579,      -1.371722698,       4.492668355,      -6.192514175
          15,      -3.665578419,      -1.200897051,      -1.381382337,       1.814704178,       -1.27783554,       4.263538866,      -5.961063099
          16,      -3.644859979,      -1.188214228,      -1.343469341,        1.82811734,      -1.192927815,       4.131841687,      -6.138488736
          17,       -3.69637992,      -1.248566292,      -1.527497695,       1.769491263,      -1.078657067,       4.570044522,      -5.762671697
          18,      -3.716797625,      -1.287060763,      -1.410017991,        1.72987476,     -0.9584451139,       4.324403903,      -5.842400685
          19,      -3.723456056,      -1.292543551,      -1.511655502,       1.729076846,     -0.8455954789,       4.411523541,      -5.708993121
          20,      -3.747460723,      -1.341736649,      -1.495606322,       1.677850013,     -0.7177006467,       4.692168953,      -5.805224377
          21,      -3.763364998,      -1.360466755,      -1.562780751,       1.664895001,      -0.609303924,       4.584884519,      -5.709550826
          22,      -3.778052283,      -1.400866419,      -1.525019255,       1.622930041,     -0.4864993726,       4.817186577,      -5.854904401
          23,      -3.786457927,      -1.420064888,        -1.6005516,       1.613894407,      -0.399929168,       4.578178867,      -5.734156412
          24,      -3.796372891,      -1.465408439,      -1.555005004,       1.567930188,     -0.3029796275,       4.841840302,      -5.947166608
          25,      -3.794260334,      -1.488505432,      -1.615859064,        1.56331441,     -0.2582381682,       4.434342131,      -5.748223088
          26,      -3.793047801,      -1.533043604,      -1.554037327,       1.521493554,     -0.2039458925,        4.85717752,      -6.036738764
          27,      -3.744177465,      -1.511775828,      -1.539152023,       1.568647321,     -0.2087081312,       4.407016609,      -5.633169725
          28,      -3.728530708,      -1.545894412,      -1.517174586,        1.54290319,     -0.1999947903,       4.681066085,      -5.853312843
          29,      -3.721098818,      -1.538720597,      -1.589338043,        1.55349395,     -0.2349946351,       4.346241542,      -5.600804363
          30,      -3.734182971,      -1.584786257,      -1.540506194,       1.488617303,      -0.240308702,        4.96125074,      -5.887517098
          31,      -3.722642331,      -1.548922663,      -1.597448426,       1.517950958,     -0.2635902615,        4.53553712,      -5.620010842
          32,      -3.744145857,      -1.582972668,      -1.558357352,       1.460104467,     -0.2592846024,       4.911455916,      -5.909266596
          33,      -3.744464412,      -1.546466043,      -1.642594623,       1.489110903,     -0.2728663733,       4.566807601,      -5.654324237
          34,      -3.778406964,       -1.56528742,      -1.583059862,       1.445088205,     -0.2676222473,       4.861074541,      -5.929433448
          35,      -3.785556337,       -1.53992333,      -1.694014115,       1.473561664,     -0.2736328787,       4.615778732,      -5.709378082
          36,      -3.827530029,      -1.549781882,      -1.616947759,       1.448484113,     -0.2746926257,       4.793897863,      -5.958194077
          37,       -3.83949442,      -1.538751057,      -1.752022088,       1.470069849,     -0.2741475922,       4.629584909,      -5.782719628
          38,      -3.887732922,      -1.551904123,      -1.673437749,       1.452383567,     -0.2824582983,       4.651282146,      -5.967023694
          39,      -3.906491328,      -1.545838391,      -1.823391014,       1.464378145,     -0.2751838727,         4.6412906,      -5.886376491
          40,      -3.930533327,       -1.54027625,      -1.730782427,       1.475954169,     -0.2994763938,       4.804024404,      -6.134470254
          41,      -4.001057602,      -1.599542127,      -1.848898565,       1.411133191,     -0.2871809055,       4.842217342,      -6.385833972
          42,       -4.03572463,      -1.581673296,      -1.899869975,       1.431773819,     -0.3199288928,       4.140972138,      -6.353706727
          43,      -4.030150631,      -1.558659779,      -1.970360323,       1.452156114,     -0.3172112521,        4.27328312,      -6.275124944
          44,      -4.111477167,      -1.640917341,       -1.90675933,       1.373871124,     -0.3561399964,       4.508044493,      -6.344363522
          45,      -4.132239934,      -1.663623296,      -1.980082667,       1.361371171,     -0.3915943698,        4.38275914,      -6.410495284
          46,      -4.119146966,      -1.636469786,       -2.11079913,       1.370972724,     -0.3945469663,        4.17126072,      -6.245471612
          47,      -4.176118733,      -1.700953433,      -1.971813838,       1.309309752,     -0.4266145682,       4.411726844,      -6.474237132
