"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -1.680563466,      0.7516247664,      -13.29250173,        3.91689755,      -3.159052092,       4.290528079,      -4.498095939
           1,      -1.922687345,      0.2606120409,      0.1909307841,       3.469349762,      -2.781835024,       4.964826244,      -5.151426288
           2,      -2.127116186,      0.1343729713,     0.08949665404,        3.20519166,      -2.566002823,       6.008301855,       -5.20146137
           3,      -2.395883838,      0.2608984747,     -0.1223960603,       2.967154794,      -2.276841446,       5.954886669,      -4.958064481
           4,      -2.289267641,      0.5141417088,     -0.4358587149,       3.167892123,      -2.113264184,        6.11721836,      -5.199643512
           5,      -2.809347098,      0.3224802541,      -0.641542858,       2.878322767,      -2.079221911,       6.078376686,      -5.515809652
           6,      -3.062926369,     -0.2505959475,     -0.8385261075,        2.56767971,      -2.163692606,       5.500591966,      -5.477599912
           7,      -3.231515356,     -0.6655697629,     -0.9650015012,       2.326303735,      -2.098634966,       4.824735786,      -5.784341439
           8,      -3.379226252,     -0.8302661973,      -1.101352979,       2.133200953,      -1.975472299,       4.711085686,      -5.623084211
           9,      -3.419051585,     -0.9039259797,        -1.0999763,       2.078580343,      -1.860855752,       4.407867379,      -5.887229014
          10,      -3.491323505,     -0.9887330029,      -1.218764499,       1.995282541,      -1.748144673,       4.505097639,      -5.733804769
          11,      -3.504918689,      -1.023276429,      -1.195148583,       1.969268775,      -1.638582166,       4.459530878,      -5.960614823
          12,      -3.565859414,      -1.093745116,      -1.313367748,       1.898439257,      -1.535352031,       4.428459947,      -5.832714279
          13,      -3.567367085,      -1.110709531,      -1.263477709,       1.888894914,      -1.432445437,       4.444267277,      -6.036153258
          14,      -3.625103379,      -1.176043247,      -1.392014757,       1.821806918,       -1.33675619,       4.343341531,       -5.92522614
          15,      -3.620771239,      -1.182758705,      -1.326717762,       1.820019545,       -1.23786671,       4.630427415,      -6.126960511
          16,      -3.634673783,      -1.200513846,      -1.379250891,       1.803708959,      -1.149974239,       4.322951255,      -6.062328723
          17,      -3.625211545,      -1.197418665,       -1.37445292,       1.810744213,      -1.036724778,       4.580121381,      -6.202210409
          18,      -3.695313801,      -1.287044084,      -1.482519815,       1.725688819,     -0.9159416522,       4.112338756,      -6.204643355
          19,      -3.662268379,       -1.25404591,      -1.372038602,       1.759034562,     -0.8080271938,       3.966847774,      -6.248299254
          20,      -3.732482888,      -1.345496506,       -1.56278106,       1.672215016,     -0.6823508283,       4.100176329,      -6.252968591
          21,      -3.703697768,       -1.32548197,      -1.430043634,       1.692684288,     -0.5840086519,       4.010786739,      -6.278221249
          22,      -3.765057606,      -1.407171507,      -1.581784709,       1.618897402,     -0.4680226249,       4.203828829,      -6.262266834
          23,      -3.727519324,      -1.390616465,      -1.472380504,       1.639438903,     -0.3934611706,       4.097138063,      -6.284435939
          24,      -3.789131625,       -1.48283535,      -1.628518984,       1.555850787,      -0.302877281,       4.313560687,      -6.209353634
          25,       -3.73683961,      -1.467843806,      -1.488113241,        1.58322452,     -0.2669145582,       4.268928219,      -6.255913048
          26,      -3.790671039,      -1.557786145,      -1.638613695,       1.503827008,     -0.2110953167,       4.399885826,       -6.11902597
          27,      -3.728439815,      -1.546206456,      -1.496617783,       1.527698749,     -0.2194824184,       4.415068618,      -6.205840302
          28,      -3.778354188,       -1.61643963,      -1.631012091,       1.455794665,     -0.2044745717,       4.451719207,      -6.037437888
          29,      -3.713871345,      -1.581652063,      -1.505924315,       1.482508733,      -0.250592084,       4.485787495,      -6.178063666
          30,      -3.773939863,      -1.638634161,      -1.653271723,       1.407341575,     -0.2555847548,       4.401011092,      -6.008704964
          31,      -3.715005324,      -1.584191482,      -1.524605479,       1.441381131,     -0.2916568193,       4.707215982,      -5.969420664
          32,      -3.743324007,       -1.60818001,      -1.593682182,       1.415781093,     -0.2790890824,       4.673180765,      -5.902211223
          33,      -3.685125498,      -1.546596696,      -1.521205509,       1.475510971,     -0.3105806317,       4.338064816,      -6.152954547
          34,      -3.765807751,      -1.584780581,      -1.679748203,       1.406846496,     -0.2974265769,       3.984306389,        -6.0509191
          35,      -3.736016712,      -1.516212079,      -1.588324087,        1.45282968,     -0.3216481858,       4.352701203,      -6.182924056
          36,      -3.789777325,      -1.531416601,      -1.693809901,       1.429001682,     -0.3147793964,       4.562286125,      -5.909417973
          37,      -3.807519639,      -1.528140555,      -1.616446199,        1.42278628,      -0.322318491,       4.363975719,      -6.260783024
          38,      -3.842120879,      -1.522550189,      -1.748853309,       1.440683747,     -0.3195050626,        4.54910631,      -6.137150016
          39,      -3.810164722,      -1.462389409,      -1.722912985,       1.497957998,      -0.319282928,       4.415972217,      -6.162725403
          40,      -3.912872065,      -1.531959585,      -1.765665671,       1.434762831,     -0.3226535219,       4.194246971,      -6.125346062
          41,      -3.878565448,      -1.486987376,      -1.792211508,       1.493728967,     -0.3144017431,       4.297893235,        -6.1998618
          42,      -3.980527451,      -1.566292182,      -1.829138443,       1.419715877,     -0.3355572422,       4.144723968,      -6.159007756
          43,      -3.974011297,      -1.531078591,      -1.936823714,       1.454572024,     -0.3367935889,       4.253446195,      -6.281429498
          44,      -4.074239511,       -1.62263443,      -1.893812136,       1.366454696,        -0.3656051,          4.207979,      -6.293523397
          45,      -4.066701969,      -1.593506878,      -1.988265332,       1.403576562,     -0.4123664471,       4.181336357,      -6.289739097
          46,      -4.130226521,       -1.67591399,      -2.004648269,       1.295881565,     -0.4024883844,       4.262753795,      -6.318559827
          47,      -4.108602087,       -1.63469438,      -2.015354893,       1.361502028,     -0.4490619369,       4.138080769,      -6.314729778
          48,       -4.18106524,      -1.728425283,       -2.02898923,       1.260217983,     -0.4736871116,       4.293001752,      -6.325466484
          49,      -4.156335221,       -1.68610318,      -2.052168314,       1.315636646,     -0.5618408197,       4.183007907,      -6.279980557
          50,      -4.219277781,      -1.757612496,       -2.09153773,       1.217830783,     -0.5828029048,       4.265995513,      -6.262074923
          51,      -4.184864538,      -1.705057193,      -2.147981797,       1.271064276,     -0.6110133642,       4.193614048,      -6.248345442
          52,      -4.240654298,      -1.771559177,      -2.167882122,       1.166039418,      -0.618302089,       4.291521812,      -6.273727891
          53,      -4.222728689,      -1.741782771,      -2.195392545,       1.221340052,     -0.6605195872,       4.210579373,       -6.27668498
          54,      -4.296701906,      -1.822076086,      -2.183916518,       1.125510977,     -0.6892676202,       4.330147368,       -6.27128288
          55,      -4.275960846,      -1.792739071,      -2.204112916,       1.175448621,     -0.7615706178,       4.237675769,      -6.249427664
          56,      -4.335655413,      -1.848644419,      -2.215130746,       1.088113342,     -0.7933137926,       4.339233275,      -6.241871499
          57,      -4.316195996,      -1.826083599,      -2.240978876,       1.135888511,     -0.8514388257,       4.237649286,      -6.234299945
          58,      -4.374310968,       -1.88159936,      -2.255704281,        1.05216096,     -0.8825615021,        4.30125109,      -6.213399638
          59,       -4.34062533,      -1.846822804,      -2.304354527,       1.097807261,     -0.9164302839,       4.251631945,      -6.239017519
          60,      -4.409540742,      -1.918282805,      -2.290749578,       1.011005031,     -0.9472378467,       4.306078806,       -6.21832476
          61,      -4.390871906,      -1.903594125,      -2.318473776,       1.056672042,     -0.9971211678,       4.228800835,      -6.226386271
          62,      -4.445672905,       -1.95744385,      -2.324352303,      0.9761812014,      -1.030072822,       4.301529147,      -6.205046737
